"userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","dateTime.x","dateTime.y","DiffScore","DiffAccuracy","DiffRT","ImproverScore","ImproverAccuracy","ImproverRT","AllImprove","ImprovedPostScoreGT7"
16770,8.30115,3.81579,5,4,3.68577,3.26498,"2018-10-16 09:15:15","2018-11-27 09:13:48",-4.48536,-1,-0.42079,0,0,0,0,0
16771,7.0958,6.66845,5,4,2.35221,2.61439,"2018-10-16 09:14:52","2018-11-27 09:19:20",-0.42735,-1,0.26218,0,0,1,0,0
16772,8.29719,3.15789,5,3,3.4254,4.59807,"2018-10-16 09:15:04","2018-11-27 09:24:06",-5.1393,-2,1.17267,0,0,1,0,0
16773,7.88364,3.46154,5,3,3.14005,2.48673,"2018-10-16 09:14:47","2018-11-27 09:20:48",-4.4221,-2,-0.65332,0,0,0,0,0
16774,6.99032,7.41073,4,5,2.63135,2.66073,"2018-10-16 09:17:54","2018-12-04 09:04:07",0.42041,1,0.0293800000000002,1,1,1,1,1
16775,7.52575,6.84395,5,5,2.52575,2.22856,"2018-10-16 09:17:42","2018-11-27 09:14:58",-0.6818,0,-0.29719,0,0,0,0,0
16776,9.13407,3.20513,5,3,4.13407,3.12931,"2018-10-16 09:17:54","2018-11-27 09:20:58",-5.92894,-2,-1.00476,0,0,0,0,0
16777,7.26471,7.73372,4,5,2.90573,2.99013,"2018-10-16 09:17:50","2018-11-27 09:23:04",0.46901,1,0.0844,1,1,1,1,1
16778,3.71795,7.59347,4,5,2.23666,2.85663,"2018-10-16 09:13:37","2018-11-27 09:13:01",3.87552,1,0.61997,1,1,1,1,1
16779,7.60837,7.33842,5,4,2.60837,2.86473,"2018-10-16 09:12:37","2018-11-27 09:15:32",-0.26995,-1,0.25636,0,0,1,0,1
16780,6.71937,7.83783,4,5,2.61681,2.83783,"2018-10-16 09:14:34","2018-11-27 09:11:24",1.11846,1,0.22102,1,1,1,1,1
16781,2.4359,3.78378,2,4,1.95737,2.80071,"2018-10-16 09:18:27","2018-11-27 09:13:54",1.34788,2,0.84334,1,1,1,1,0
16782,2.5641,3.84615,3,4,2.44727,2.63988,"2018-10-16 09:20:22","2018-11-27 09:11:01",1.28205,1,0.19261,1,1,1,1,0
16783,7.66071,6.79107,5,5,3.04532,2.17568,"2018-10-16 09:20:28","2018-11-27 09:17:11",-0.86964,0,-0.86964,0,0,0,0,0
16784,7.18678,6.71863,5,4,2.57139,2.48786,"2018-10-16 09:24:23","2018-12-04 09:06:42",-0.46815,-1,-0.0835300000000001,0,0,0,0,0
