"","userID","pre_nihScore","post_nihScore","pre_nihAccuracy","post_nihAccuracy","pre_nihRTScore","post_nihRTScore","DiffScore","DiffAccuracy","DiffRT"
"1",17652,2.05128,2.05128,2,2,3.1065,2.88241,0,0,-0.22409
"2",16932,6.81065,7.67226,5,4,2.06706,3.18508,0.86161,-1,1.11802
"3",16934,5.29406,7.97981,4,5,1.06329,3.10801,2.68575,1,2.04472
"4",16947,3.84615,7.70068,4,4,3.29283,3.2135,3.85453,0,-0.0793300000000001
"5",16947,7.46698,7.70068,4,4,3.10801,3.2135,0.2337,0,0.10549
"6",17248,8.10606,2.82051,5,3,3.23106,5,-5.28555,-2,1.76894
"7",17248,8.10606,3.33333,5,3,3.23106,3.46966,-4.77273,-2,0.2386
"8",16926,6.93213,7.21897,5,5,2.18854,2.47538,0.28684,0,0.28684
"9",16934,3.97436,7.97981,4,5,0,3.10801,4.00545,1,3.10801
"10",16933,3.07692,7.24107,3,4,2.84721,2.75389,4.16415,1,-0.0933199999999998
"11",16929,8.04778,7.26471,5,5,3.29778,2.52112,-0.783069999999999,0,-0.77666
"12",16928,0,6.07645,4,4,0,1.58927,6.07645,0,1.58927
"13",16928,3.97436,6.07645,4,4,2.42063,1.58927,2.10209,0,-0.83136
"14",16922,7.46697,7.81654,5,5,2.59518,2.81654,0.34957,0,0.22136
"15",16924,6.96007,7.60562,5,5,2.21648,2.86203,0.64555,0,0.64555
"16",16931,3.84615,7.16422,4,5,5,2.42063,3.31807,1,-2.57937
"17",16935,3.875,7.45399,4,5,1.90976,2.45399,3.57899,1,0.54423
"18",16932,6.74152,7.67226,4,4,2.51075,3.18508,0.930739999999999,0,0.67433
"19",16984,7.1234,7.50193,4,5,2.63622,2.63013,0.37853,1,-0.00608999999999993
"20",16921,2.82051,3.97436,3,4,1.34138,2.55372,1.15385,1,1.21234
"21",16923,7.46932,7.60022,5,5,2.85393,2.85663,0.1309,0,0.00269999999999992
"22",16925,3.97436,7.14445,4,5,2.19847,2.40086,3.17009,1,0.20239
"23",16927,6.90356,3.97436,5,4,2.15997,2.26832,-2.9292,-1,0.10835
"24",16994,2.4359,6.50237,2,4,3.76423,2.1434,4.06647,2,-1.62083
"25",17026,8.15595,8.40273,5,5,3.54057,3.40273,0.246779999999999,0,-0.13784
"26",17010,8.07803,7.7845,5,5,3.33444,3.04092,-0.29353,0,-0.29352
"27",16948,7.39256,8.23427,5,5,2.77717,3.23427,0.841710000000001,0,0.4571
"28",16947,7.31009,7.70068,4,4,3.06009,3.2135,0.39059,0,0.15341
"29",16947,3.07692,7.70068,3,4,5,3.2135,4.62376,1,-1.7865
"30",16945,2.30769,2.4359,2,2,1.48283,1.01539,0.12821,0,-0.46744
