"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","dateTime.x","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore","dateTime.y"
308,16770,"PUF18","dccs",8.30115,5,3.68577,"2018-10-16 09:15:15",1051,"FA18UCpost","dccs",3.81579,4,3.26498,"2018-11-27 09:13:48"
307,16771,"PUF18","dccs",7.0958,5,2.35221,"2018-10-16 09:14:52",1050,"FA18UCpost","dccs",6.66845,4,2.61439,"2018-11-27 09:19:20"
306,16772,"PUF18","dccs",8.29719,5,3.4254,"2018-10-16 09:15:04",1049,"FA18UCpost","dccs",3.15789,3,4.59807,"2018-11-27 09:24:06"
305,16773,"PUF18","dccs",7.88364,5,3.14005,"2018-10-16 09:14:47",1048,"FA18UCpost","dccs",3.46154,3,2.48673,"2018-11-27 09:20:48"
304,16774,"PUF18","dccs",6.99032,4,2.63135,"2018-10-16 09:17:54",1047,"FA18UCpost","dccs",7.41073,5,2.66073,"2018-12-04 09:04:07"
303,16775,"PUF18","dccs",7.52575,5,2.52575,"2018-10-16 09:17:42",1046,"FA18UCpost","dccs",6.84395,5,2.22856,"2018-11-27 09:14:58"
302,16776,"PUF18","dccs",9.13407,5,4.13407,"2018-10-16 09:17:54",1045,"FA18UCpost","dccs",3.20513,3,3.12931,"2018-11-27 09:20:58"
301,16777,"PUF18","dccs",7.26471,4,2.90573,"2018-10-16 09:17:50",1043,"FA18UCpost","dccs",7.73372,5,2.99013,"2018-11-27 09:23:04"
300,16778,"PUF18","dccs",3.71795,4,2.23666,"2018-10-16 09:13:37",1042,"FA18UCpost","dccs",7.59347,5,2.85663,"2018-11-27 09:13:01"
299,16779,"PUF18","dccs",7.60837,5,2.60837,"2018-10-16 09:12:37",1041,"FA18UCpost","dccs",7.33842,4,2.86473,"2018-11-27 09:15:32"
298,16780,"PUF18","dccs",6.71937,4,2.61681,"2018-10-16 09:14:34",1040,"FA18UCpost","dccs",7.83783,5,2.83783,"2018-11-27 09:11:24"
297,16781,"PUF18","dccs",2.4359,2,1.95737,"2018-10-16 09:18:27",1039,"FA18UCpost","dccs",3.78378,4,2.80071,"2018-11-27 09:13:54"
