"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"1052","FA18UCpost","3625","17247","NA","dccs","1c1oo1epom5p64hb3mbrarv492","pub_C8RWoUg5aJ","3.20513","2018-11-26 19:19:21","39","25","3","0","5","6","3","221.333","265","105.51","300","0.5","23","12","334.25","291.5","165.76","300","0.521739","2019-03-20 16:54:32"
"1051","FA18UCpost","3625","16770","NA","dccs","b1vp7520vhr2h0sksfm4mndch6","pub_swK4TdqaJ7","3.81579","2018-11-27 09:13:48","38","29","4","0","3.26498","6","5","1006.8","667","642.414","667","0.833333","22","14","1351.07","1222.5","1233.61","1222.5","0.636364","2019-03-20 16:54:29"
"1050","FA18UCpost","3625","16771","NA","dccs","dh5vif97nsvtc2vpg6jbk83kp4","pub_60s@A3kYbu","6.66845","2018-11-27 09:19:20","37","30","4","1","2.61439","6","3","1197","900","631.276","900","0.5","21","17","1399.76","932","1401.11","921.5","0.809524","2019-03-20 16:54:23"
"1049","FA18UCpost","3625","16772","NA","dccs","6tq15u0i6m9lle3m25b0kq5dg1","pub_ElAkVD71dO","3.15789","2018-11-27 09:24:06","38","24","3","0","4.59807","6","3","2127","361","3263.55","361","0.5","22","11","224.182","134","239.362","300","0.5","2019-03-20 16:54:17"
"1048","FA18UCpost","3625","16773","NA","dccs","5krnds1bil3kd3uagu6jl1c4i0","pub_ef3Z5KBlPe","3.46154","2018-11-27 09:20:48","39","27","3","0","2.48673","6","2","954.5","954.5","301.935","954.5","0.333333","23","15","2112.2","788","2666.96","788","0.652174","2019-03-20 16:54:14"
"1047","FA18UCpost","3625","16774","NA","dccs","0s9phn106de2sh9ev8t40b4eo1","pub_3ETlaClNGT","7.41073","2018-12-04 09:04:07","40","38","5","1","2.66073","7","6","1025.67","881","437.14","881","0.857143","23","22","907.727","827","377.493","827","0.956522","2019-03-20 16:54:13"
"1046","FA18UCpost","3625","16775","NA","dccs","ffsodl4o212775f5cqu35cn1v1","pub_b8xzZYA1hJ","6.84395","2018-11-27 09:14:58","39","36","5","1","2.22856","6","5","1095","1075","192.678","1075","0.833333","23","21","1151.05","933","544.851","933","0.913043","2019-03-20 16:54:10"
"1045","FA18UCpost","3625","16776","NA","dccs","3ncv2jkbdtnbphq5c4mfrg0kh2","pub_JxFQywdovn","3.20513","2018-11-27 09:20:58","39","25","3","0","3.12931","6","5","187.6","66","292.514","710","0.833333","23","10","293.6","98.5","432.285","300","0.434783","2019-03-20 16:54:08"
"1044","FA18UCpost","3625","16776","NA","dccs","n3ado58ifjnj81lsqb6rcnpqi7","pub_0TqZOhzq8L","8.70141","2018-11-27 09:30:03","39","36","5","1","4.08603","6","6","493.333","457","97.4036","457","1","23","20","452","402","217.156","402","0.869565","2019-03-20 16:54:08"
"1043","FA18UCpost","3625","16777","NA","dccs","kv0dpoublk4vem6rhclham2gd2","pub_t5OH6Pihh0","7.73372","2018-11-27 09:23:04","39","37","5","1","2.99013","6","5","677.4","757","341.651","757","0.833333","23","22","761.818","762.5","308.313","818","0.956522","2019-03-20 16:54:04"
