"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"1221","FA18UCpost","3623","17653","NA","flanker","h8324rvahos2cq0p8k508vles3","wwBWebwTrl","7.99949","2018-12-11 14:04:26","42","42","5","1","2.99949","16","16","697.375","598.5","261.449","591","1","16","16","639.625","597","237.163","591","1","2018-12-21 15:33:15"
"1222","FA18UCpost","3623","17697","NA","flanker","qj8927k5b20lfs85jjv7knr6s1","Fa-7FTILhr","5.42116","2018-12-11 14:26:05","42","37","4","1","1.0164","16","11","2042.73","1730","1130.83","1730","0.6875","16","16","989.312","885","572.078","891","1","2018-12-21 15:33:19"
"1223","FA18UCpost","3623","17688","NA","flanker","bq202b1d0g9jgu58khj3endcd4","G1T7lbKmVk","7.90658","2018-12-11 14:26:19","42","42","5","1","2.90658","16","16","629.75","621.5","149.381","621.5","1","16","16","712","530","576.6","504","1","2018-12-21 15:33:28"
"1224","FA18UCpost","3623","17686","NA","flanker","jio2aj61ppgfo4i2r3ln2eoso0","NXa3MzPGdQ","3.21429","2018-12-11 14:26:24","42","27","3","0","2.34375","16","4","1065","843","599.458","843","0.25","16","13","582.385","577","146.694","577","0.8125","2018-12-21 15:33:31"
"1225","FA18UCpost","3623","17684","NA","flanker","bmv7v5jc6cjnbfum7c9208to50","dP49obWbtK","6.83696","2018-12-11 14:28:06","42","41","5","1","1.956","16","15","1548.93","1040","1261.78","1040","0.9375","16","16","1641.31","1034","2001.57","1004","1","2018-12-21 15:33:35"
"1226","FA18UCpost","3623","17680","NA","flanker","audjl735qkgj3hrspo7cgsdd80","@8u5Ovs5v-","8.46819","2018-12-11 14:27:39","42","42","5","1","3.46819","16","16","449.125","458.5","113.943","458.5","1","16","16","453.062","447","159.603","456","1","2018-12-21 15:33:36"
"1227","FA18UCpost","3623","17701","NA","flanker","45ib2jr97n9nkunjhi43qv3be1","HCrlWyYQVN","8.67462","2018-12-11 14:27:01","42","42","5","1","3.67462","16","16","446.25","426","73.9229","410","1","16","16","468.5","447","81.617","447","1","2018-12-21 15:33:39"
"1228","FA18UCpost","3623","17700","NA","flanker","0rllh39i1p5gjj49au9bkscoj6","Gnf82ik6O~","6.17172","2018-12-11 14:27:31","42","34","4","1","2.1241","16","8","1003.12","949.5","283.461","949.5","0.5","16","16","680.125","675","208.561","675","1","2018-12-21 15:33:42"
"1229","FA18UCpost","3623","17699","NA","flanker","f1bd2kg9vjdstiek4fsi6p40d1","RTa4di~7N0","6.8314","2018-12-11 14:27:39","42","40","5","1","2.06949","16","14","1005.57","978","399.255","978","0.875","16","16","1457.12","1047.5","1024.14","1047.5","1","2018-12-21 15:33:43"
"1230","FA18UCpost","3623","17698","NA","flanker","i8a6bu4op07rrdg0qhrum3ih10","jwvh@YQ_mw","7.27275","2018-12-11 14:28:42","42","36","4","1","2.98703","16","11","938.273","595","777.485","595","0.6875","16","15","643.6","639","288.847","639","0.9375","2018-12-21 15:33:45"
