"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"1667","JRPOF18","3631","17252","NA","flanker","rg7khmnju85rcv7505lpi6tsa1","XSh@XSdC1Y","3.80952","2018-12-03 16:27:59","42","32","4","0","3.26442","16","11","467.545","508","250.615","512","0.6875","16","11","407.818","489","224.046","516.5","0.6875","2018-12-21 16:50:40"
"1668","JRPOF18","3631","17253","NA","flanker","0pih3h0vq7hq7hiq4k6kn7f537","kXxf3mAuyw","7.71401","2018-12-03 12:47:20","42","38","5","1","3.1902","16","14","689.929","533","422.462","533","0.875","16","14","515.929","459.5","161.618","457","0.875","2018-12-21 16:50:45"
"1669","JRPOF18","3631","17255","NA","flanker","5ds55a588h5k34fiuksmnd2m04","og7hNkZFRZ","7.18167","2018-12-03 12:05:56","42","40","5","1","2.41976","16","14","833.357","809","318.8","809","0.875","16","16","1297.69","574","2302.43","555","1","2018-12-21 16:50:51"
"1670","JRPOF18","3631","18129","NA","flanker","0sk46dn9h4i2l67s9u2mdkdft1","Tvl4B4J58m","3.09524","2018-11-28 11:16:11","42","26","3","0","0","16","0","0","0","0","0","0","16","16","3074.25","973","6234.93","912","1","2018-12-21 16:50:54"
"1671","JRPOF18","3631","18128","NA","flanker","8hnmc04450pj6j3qbm1acnu6b0","7iLsX8@AJk","3.21429","2018-11-28 10:50:29","42","27","3","0","0.588245","16","2","2181.5","2181.5","1158.95","2181.5","0.125","16","15","1241.33","785","941.682","785","0.9375","2018-12-21 16:50:58"
"1672","JRPOF18","3631","17386","NA","flanker","k5pgj7i72suue0gvn1nprg69k6","vZcQL6ESvC","3.57143","2018-11-28 10:53:33","42","30","4","0","2.64266","16","5","622","688","342.824","717","0.3125","16","15","725.8","715","462.662","719","0.9375","2018-12-21 16:51:00"
"1673","JRPOF18","3631","17213","NA","flanker","294o7ea8ieeetr2glst1rhdce3","t7Q7_-xkKi","7.91253","2018-11-28 10:56:02","42","42","5","1","2.91253","16","16","662.75","619.5","182.361","619.5","1","16","16","502.688","485","105.407","485","1","2018-12-21 16:51:04"
"1674","JRPOF18","3631","17209","NA","flanker","rloifqepu1tlku9qknictp7pc6","KFL_ooS35e","7.93351","2018-11-28 10:59:36","42","42","5","1","2.93351","16","16","654.625","612.5","123.455","612.5","1","16","16","643.812","560.5","276.778","558","1","2018-12-21 16:51:06"
"1675","JRPOF18","3631","17208","NA","flanker","2upt55jbalbf42rouj4so5s5k5","uA5LEuAdzv","5.88319","2018-12-04 10:53:48","42","37","4","1","1.47843","16","11","1901.45","1347","1846.46","1347","0.6875","16","16","1035.12","842","662.129","832","1","2018-12-21 16:51:09"
"1676","JRPOF18","3631","17207","NA","flanker","vtodav2dgb10breop2teesh7l0","_XLdRRllmm","6.79865","2018-11-28 11:01:19","42","40","5","1","2.03675","16","14","1782.07","995.5","1687.21","995.5","0.875","16","16","1003.38","910","378.8","910","1","2018-12-21 16:51:13"
