"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"607","PespF18","3350","9466","NA","dccs","orfbsn6ul3bk3762q5j6c7iqr1","pub_-AZfQ3m-Y~","8.93612","2018-10-09 23:17:48","40","37","5","1","4.31112","7","5","456.8","412","103.217","412","0.714286","23","22","643.682","479.5","386.757","479.5","0.956522","2019-03-20 16:15:58"
"606","PespF18","3350","17325","NA","dccs","mian6isbls3al83bpgi2cqt2d0","pub_NkmlWNjE~n","7.03569","2018-10-31 09:41:59","39","37","5","1","2.2921","6","5","1189","1044","542.751","1044","0.833333","23","22","1141.32","820.5","866.685","793","0.956522","2019-03-20 16:15:48"
"605","PespF18","3350","17326","NA","dccs","3grpl7llvqv30cjkrh4alpq557","pub_~NmHCvTNu3","5","2018-10-10 09:47:43","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:15:46"
"604","PespF18","3350","17326","NA","dccs","a35k41p237n8h9o48m60jj3sf3","pub_x4@ZUkquC_","7.55537","2018-11-28 09:32:26","40","35","4","1","3.18037","7","2","693.5","693.5","378.302","693.5","0.285714","23","23","1013.09","970","317.914","970","1","2019-03-20 16:15:46"
"603","PespF18","3350","17327","NA","dccs","8ujnk3ucpesnr3pg1lqav8of02","pub_D7yLGuSAaH","5","2018-10-10 09:48:45","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:15:44"
"602","PespF18","3350","17328","NA","dccs","49fmddj0uiv5stffpkruj4hvu2","pub_Tsqs33vJdr","2.4359","2018-10-24 09:29:13","39","19","2","0","2.9349","6","6","946.167","776.5","356.488","776.5","1","23","3","924","926","558.003","926","0.130435","2019-03-20 16:15:43"
"601","PespF18","3350","17329","NA","dccs","jjgigd31vtq6h8pg9fgm6c8tt4","pub_jahmWCBW8j","6.96855","2018-10-24 09:30:19","39","34","4","1","2.60957","6","5","1306.6","902","973.586","902","0.833333","23","19","1281.26","1166","581.352","1166","0.826087","2019-03-20 16:15:37"
"600","PespF18","3350","17329","NA","dccs","rf6jclc152jk363uq707ql8nu1","pub_Fsp~hjpM49","2.83784","2018-10-10 09:46:27","37","21","3","0","2.97441","6","4","1049.5","762.5","1038.61","762.5","0.666667","21","7","612.286","706","378.58","721","0.333333","2019-03-20 16:15:36"
"599","PespF18","3350","17330","NA","dccs","og2ivive97r370q8j3qa5ids73","pub_tfmhA90g7K","6.90891","2018-10-10 09:45:12","39","35","4","1","2.42173","6","4","968.25","983.5","360.211","983.5","0.666667","23","21","1559.1","1014","1223.82","1007","0.913043","2019-03-20 16:15:34"
"598","PespF18","3350","17334","NA","dccs","5df6lr2hdr97s8faapg1dgmbi1","pub__eRfv5WW7g","3.71795","2018-11-28 09:31:21","39","29","4","0","5","6","2","176","176","127.279","300","0.333333","23","17","622.353","437","670.481","435","0.73913","2019-03-20 16:15:23"
"597","PespF18","3350","17334","NA","dccs","3etefe13q9ualo7fcsl4i1ave4","pub_vAmeZPfqXS","3.83333","2018-10-24 09:36:47","30","23","4","0","2.24988","4","2","1064.5","1064.5","72.832","1064.5","0.5","16","11","1191.91","954","694.393","954","0.6875","2019-03-20 16:15:22"
"596","PespF18","3350","17335","NA","dccs","i2l76helmm3u396e2mc4ruu1e4","pub_pl1C0E2hGH","2.69231","2018-10-24 09:35:45","39","21","3","0","4.80955","6","6","273.333","118","316.058","327.5","1","23","5","166.4","100","113.555","300","0.217391","2019-03-20 16:15:18"
"595","PespF18","3350","17336","NA","dccs","jrh876e2nb54so69hddm2kq8f3","pub_iBWTO6veiB","6.86283","2018-10-24 09:30:08","39","34","4","1","2.50386","6","3","893.667","947","94.1134","947","0.5","23","21","1039.86","864","556.659","864","0.913043","2019-03-20 16:15:12"
"594","PespF18","3350","17337","NA","dccs","vvi9kkhn0fu0qncp0lndcg6ob4","pub_px0AQ@THjr","3.33333","2018-10-31 09:43:16","21","14","3","0","2.87016","2","2","800","800","704.278","800","1","9","2","1019.5","1019.5","703.571","1019.5","0.222222","2019-03-20 16:15:09"
"593","PespF18","3350","17337","NA","dccs","5032vfqrlil284a49fgn43kak4","pub_Pgi24hKGN5","5","2018-10-10 09:47:44","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:15:09"
"592","PespF18","3350","17338","NA","dccs","9b7mttc7cdstsq83u5c7ev0eo2","pub_JVAegX-wsF","7.13072","2018-10-24 09:33:47","39","35","4","1","2.64354","6","3","998","888","250.797","888","0.5","23","22","1087.23","973","759.24","945","0.956522","2019-03-20 16:15:07"
"591","PespF18","3350","17339","NA","dccs","b256v5uj1o6s0hfeepv3ugc466","pub_xA6opuT0vW","0","2018-10-24 09:36:19","39","33","4","1","0","6","0","0","0","0","0","0","23","23","1052.61","776","828.127","753.5","1","2019-03-20 16:15:04"
"590","PespF18","3350","17340","NA","dccs","lct77010hf9dgsti3o2r09td01","pub_Xq5ow3sFYQ","5","2018-10-24 09:34:36","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:15:01"
"589","PespF18","3350","17342","NA","dccs","hgvjo3s9272ltphd5e28pus440","pub_ba7rfN6sGR","2.69231","2018-10-24 09:37:26","39","21","3","0","2.37046","6","6","1503.33","1007","1072.85","1007","1","23","5","938.8","962","379.796","962","0.217391","2019-03-20 16:14:52"
"588","PespF18","3350","16967","NA","dccs","94em7i3jlum7dkivr3lokvikn6","pub_CawUu_UAqo","3.71795","2018-10-16 10:21:29","39","29","4","0","3.04827","6","5","639.4","737","258.268","737","0.833333","23","14","511.786","525","321.89","552","0.608696","2019-03-20 16:14:50"
"587","PespF18","3350","16968","NA","dccs","rmj51ka9tqkvq87sb78ms59is3","pub_Xq0hTJaCmA","3.97436","2018-10-23 10:04:03","39","31","4","0","1.87172","6","6","1923.5","1267","1651.08","1267","1","23","15","1473.07","1277","539.767","1277","0.652174","2019-03-20 16:14:48"
"586","PespF18","3350","16968","NA","dccs","28gksq3v17657l8i2ckndtqsq4","pub_m_r5lRp1GT","3.71429","2018-10-16 10:26:03","35","26","4","0","3.08392","5","4","770.75","725","264.499","725","0.8","20","12","1643.83","1155","1930.63","1129","0.6","2019-03-20 16:14:47"
