"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"1080","PespF18","3348","18702","NA","flanker","65o85o8s3q17jn0vdgqcvrjmj6","M6j@xGkn0~","3.92857","2018-12-19 09:36:22","42","33","4","0","2.19445","16","7","1084.57","914","607.523","914","0.4375","16","16","719.5","660.5","200.307","660.5","1","2018-12-21 14:52:45"
"1081","PespF18","3348","18611","NA","flanker","cmt9f810j01ti4pc1ds7u5j512","IbrkE8mzuy","6.87779","2018-11-20 10:14:59","42","42","5","1","1.87779","16","16","1813.75","1110","1956.93","1085","1","16","16","1786.94","935","1433.38","935","1","2018-12-21 14:52:50"
"1082","PespF18","3348","18594","NA","flanker","292t2fku4bumf7eb6teman30i3","9KHnXSzB5T","3.52941","2018-11-28 09:41:51","34","24","4","0","2.49428","11","6","6328.5","913.5","13209.9","777","0.545455","13","8","910.25","663.5","732.282","663.5","0.615385","2018-12-21 14:52:58"
"1083","PespF18","3348","18594","NA","flanker","qpmk56vc9olorgtpca1269t4e2","lq@BYr@bFI","3.21429","2018-12-05 09:35:01","42","27","3","0","2.41066","16","2","813","813","550.129","813","0.125","16","15","876.867","619","736.69","619","0.9375","2018-12-21 14:52:58"
"1084","PespF18","3348","18592","NA","flanker","5ai70pt9io6gshbj8jncuo1ut1","l0qEVnC_Mv","7.66338","2018-11-07 09:30:18","42","42","5","1","2.66338","16","16","777.75","710.5","243.926","709","1","16","16","772.562","668.5","278.756","668.5","1","2018-12-21 14:53:01"
"1085","PespF18","3348","18572","NA","flanker","avv88m69hag484415841u26js0","U1ObPPbz4X","7.63755","2018-10-30 10:10:12","42","40","5","1","2.87564","16","14","655.357","637","130.296","632","0.875","16","16","1076.81","638","1333.14","634","1","2018-12-21 14:53:03"
"1086","PespF18","3348","18571","NA","flanker","svdlb37g88m49utj7mao2b8dd1","J63Xnp@9Kq","3.33333","2018-10-30 10:12:19","42","28","3","0","2.51339","16","2","769","769","96.1665","769","0.125","16","16","1875.62","808.5","3963.47","772","1","2018-12-21 14:53:04"
"1087","PespF18","3348","18570","NA","flanker","4g23jg0sjauge5q9u7mis6pus7","TNobFg0wBr","3.45238","2018-10-30 10:10:54","42","29","3","0","1.97384","16","5","1353.4","586","2157.81","1030","0.3125","16","14","1378.93","1298","1019.56","1800","0.875","2018-12-21 14:53:08"
"1088","PespF18","3348","18531","NA","flanker","31v8pgtjuc1foftjjsh4q2hhp4","KnxNAN7bX9","3.45238","2018-10-24 09:35:41","42","29","3","0","0","16","3","3936","4367","2365.14","3000","0.1875","16","16","1983.94","1008.5","3616.78","1008.5","1","2018-12-21 14:53:10"
"1089","PespF18","3348","18530","NA","flanker","i3u8crog74lp4rjoodl7ntio31","_3vbME4TBy","3.69048","2018-10-24 09:35:55","42","31","4","0","3.04695","16","7","15135.1","813","29411.3","576","0.4375","16","14","885.071","583","1088.13","571","0.875","2018-12-21 14:53:11"
"1090","PespF18","3348","17664","NA","flanker","ts1d9e1713as26pp3uhtspgcb1","R5eEfgrMBb","3.92857","2018-10-23 13:57:39","42","33","4","0","2.24566","16","8","1071.25","889","602.223","889","0.5","16","15","1851.93","612","3625.83","597","0.9375","2018-12-21 14:53:37"
"1091","PespF18","3348","17660","NA","flanker","infn73h0mhnl48jnjbjsiumkr3","YDgrJIJG1D","5.0178","2018-10-23 14:00:02","42","36","4","1","0.732086","16","11","2432.73","2018","1339.55","2018","0.6875","16","15","1343.93","943","759.001","943","0.9375","2018-12-21 14:54:20"
"1092","PespF18","3348","17652","NA","flanker","i4r3nmd4b010higc23fssfs830","0Wj_jhD7wR","7.4318","2018-10-30 13:55:54","42","40","5","1","2.6699","16","15","776.6","719","350.694","706.5","0.9375","16","15","699.133","541","436.357","537","0.9375","2018-12-21 14:54:32"
"1093","PespF18","3348","17453","NA","flanker","gtf8o45jmmfqhl4rolcrr9jo97","bZ4~1ucosg","7.42582","2018-10-23 10:05:50","42","41","5","1","2.54487","16","16","781.5","756","371.956","756","1","16","15","721.4","694","184.965","694","0.9375","2018-12-21 14:54:35"
"1094","PespF18","3348","17453","NA","flanker","rsbeooob1ibo2kl00bss9filf7","Tfgdkbd_eq","0","2018-10-16 10:26:43","16","13","4","1","0","2","0","0","0","0","0","0","4","3","1213.33","697","1080.38","697","0.75","2018-12-21 14:54:35"
"1095","PespF18","3348","16981","NA","flanker","ptk16jf1v3fcsmh4umffrqklv0","NhM_kniGvZ","3.33333","2018-10-16 10:18:42","42","28","3","0","2.52422","16","8","1130","482.5","1823.01","764.5","0.5","16","10","940.6","711","891.457","711","0.625","2018-12-21 14:54:37"
"1096","PespF18","3348","16980","NA","flanker","dck4qpht49m1d0j98lp31fdoo2","e4exxAY_OM","3.21429","2018-10-16 10:23:39","42","27","3","0","5","16","6","1398.5","160.5","3036.9","200","0.375","16","11","365.182","216","296.36","562","0.6875","2018-12-21 14:54:40"
"1097","PespF18","3348","16979","NA","flanker","b5rc7q84u1nhv4i76kqeca0bp1",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-21 14:54:42"
"1098","PespF18","3348","16978","NA","flanker","prj23s3jgg27ve1rp2frm7q5g5","EU9@GD9fFa","9.33333","2018-10-16 10:24:57","15","13","4","1","5","1","1","116","116","0","200","1","4","2","378.5","378.5","453.255","699","0.5","2018-12-21 14:54:44"
"1099","PespF18","3348","16977","NA","flanker","e1kandc0cksm0u40emc81c1va0","UqHXp6_4OJ","7.70552","2018-10-16 10:17:40","42","42","5","1","2.70552","16","16","836.375","694.5","389.132","693","1","16","16","624.5","600.5","215.033","600.5","1","2018-12-21 14:55:06"
"1100","PespF18","3348","16976","NA","flanker","f6g00kgqurnndp54m9dsuhcnc1","Rs_E-mTAlT","5.08773","2018-10-16 10:17:16","42","36","4","1","0.802015","16","12","2245.92","1943","1472.26","1943","0.75","16","14","800","728.5","399.475","750","0.875","2018-12-21 14:55:09"
"1101","PespF18","3348","16975","NA","flanker","mrm66o8lbo3de035pma4afap43","~NsMNumnhq","7.46407","2018-10-23 10:17:37","42","41","5","1","2.58312","16","16","799.125","740.5","264.938","740.5","1","16","15","722.6","698","229.281","698","0.9375","2018-12-21 14:55:11"
"1102","PespF18","3348","16974","NA","flanker","na823si7dnutmv1ov71cic58m2","pgZ-glWR7c","4.74209","2018-10-16 10:05:37","42","38","5","1","0.218276","16","12","6587.33","3694.5","5885.19","2665.5","0.75","16","16","3536.81","1023.5","5339.85","857","1","2018-12-21 14:55:15"
"1103","PespF18","3348","16973","NA","flanker","isevseuq0ht8dlo9nisd6m7tg2","M3KTiKJuS4","6.86423","2018-10-16 10:22:25","42","42","5","1","1.86423","16","16","1939.12","1094","2353.34","1093","1","16","16","1375.88","1092.5","1058.58","1082","1","2018-12-21 14:55:18"
"1104","PespF18","3348","16972","NA","flanker","63mi7l8e7r1c5a0lv1hk18llb3","YCGo4wgR0C","6.98956","2018-10-16 10:21:28","42","41","5","1","2.10861","16","16","1530.56","957.5","1421.48","957.5","1","16","15","801.6","757","419.125","757","0.9375","2018-12-21 14:55:19"
"1105","PespF18","3348","16971","NA","flanker","ts84c60qroh977aqhf8nq93ik4","v0KH8pfdYh","6.68258","2018-10-16 10:21:03","42","42","5","1","1.68258","16","16","2401.38","1220","3184.51","1206","1","16","16","1374.62","1157","852.001","1157","1","2018-12-21 14:55:20"
"1106","PespF18","3348","16970","NA","flanker","glooke6u1jma3c1a72s7qfr461","oomtU60o9p","3.09524","2018-10-16 10:05:31","42","26","3","0","4.42212","16","4","1718.75","273.5","2990.4","273.5","0.25","16","12","963.417","582.5","1212.89","615","0.75","2018-12-21 14:55:22"
"1107","PespF18","3348","16969","NA","flanker","j11t2u5nvisce3eurol1dlkbr2","TNUzeUUvpK","8.08582","2018-10-16 10:16:45","42","42","5","1","3.08582","16","16","696.938","564","384.979","564","1","16","16","701.938","536.5","540.326","536.5","1","2018-12-21 14:55:27"
"1108","PespF18","3348","16968","NA","flanker","28gksq3v17657l8i2ckndtqsq4","JHM2Cg3iO0","5.89252","2018-10-16 10:17:37","42","34","4","1","1.84491","16","8","1791.62","1104.5","1517.13","1104.5","0.5","16","16","816.75","795.5","159.832","795.5","1","2018-12-21 14:55:28"
"1109","PespF18","3348","16967","NA","flanker","94em7i3jlum7dkivr3lokvikn6","MYexVxd06M","3.69048","2018-10-16 10:16:04","42","31","4","0","4.20578","16","11","794.455","279","1518.43","307.5","0.6875","16","10","747.3","437","972.481","462","0.625","2018-12-21 14:55:30"
