"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"465","PUF18","3277","17233","NA","dccs","bg6q09kdpcr4r0ddvlvppc1vh6","pub_QPOs_KSIUT","3.5","2018-10-08 18:06:21","40","28","4","0","4.39987","7","5","1872.8","254","3661.45","395.5","0.714286","23","13","716.846","363","1096.69","433.5","0.565217","2019-03-20 15:55:52"
"464","PUF18","3277","12210","NA","dccs","h0k35qi4ipq8depsong14c9h13","pub_57DJy9iKga","7.92975","2018-10-08 18:49:09","39","36","5","1","3.31437","6","5","622.6","652","114.098","652","0.833333","23","21","529.667","516","76.7954","516","0.913043","2019-03-20 15:55:47"
"463","PUF18","3277","132","NA","dccs","iqa6bf1ufh3trgp6mhs1olmf07","pub_3t9qNmZVF@","3.25","2018-10-08 20:36:22","40","26","3","0","0.336786","7","7","3417.86","2569","2684.53","2569","1","23","9","1959.89","1026","2183.6","1026","0.391304","2019-03-20 15:55:45"
"462","PUF18","3277","17239","NA","dccs","1bvfl3bqsc1h1qha5eli9ct952","pub_RfGcarcX9G","3.25","2018-10-08 20:43:26","40","26","3","0","0","7","3","2899.33","94","4868.51","3000","0.428571","23","13","84.3077","85","43.5878","300","0.565217","2019-03-20 15:55:38"
"461","PUF18","3277","17248","NA","dccs","birh2nbtp38sh5ac27cg5cbub2","pub_fpDZWBoBvt","8.10606","2018-10-08 21:35:10","40","39","5","1","3.23106","7","6","745.5","677.5","193.523","677.5","0.857143","23","23","666.13","614","241.644","610","1","2019-03-20 15:55:35"
"460","PUF18","3277","16926","NA","dccs","0v94jij25r7pmrmp1507njka87","pub_Byd3X@NZr8","6.93213","2018-10-23 09:05:00","39","37","5","1","2.18854","6","6","1044.5","1095","200.727","1095","1","23","21","1754.05","1345","1279.8","1255.5","0.913043","2019-03-20 15:55:24"
"459","PUF18","3277","16934","NA","dccs","jqs88uvtei948irau1dor36dl1","pub_pA63ytkiCq","3.97436","2018-10-23 09:04:47","39","31","4","0","0","6","0","0","0","0","0","0","23","21","1480.67","930","1530.97","982","0.913043","2019-03-20 15:55:17"
"458","PUF18","3277","16933","NA","dccs","ppajk41sc6k3noshhredp9gmn1","pub_moZ5bNS~6V","3.07692","2018-10-16 09:04:15","39","24","3","0","2.84721","6","6","788.667","808.5","166.19","808.5","1","23","8","894.125","828","274.276","828","0.347826","2019-03-20 15:55:14"
"457","PUF18","3277","16929","NA","dccs","1fehelgqfj7u4hool2b2hi7le5","pub_iW2mNfFmVv","8.04778","2018-10-16 09:03:05","40","38","5","1","3.29778","7","7","985.286","657","610.597","657","1","23","21","1507.24","1255","718.373","1255","0.913043","2019-03-20 15:55:08"
"456","PUF18","3277","16928","NA","dccs","30kb7jnek3pnljln2mbpfffum5","pub_re5lm@-7qg","0","2018-10-16 09:08:47","32","27","4","1","0","5","0","0","0","0","0","0","17","17","1015.24","819","665.428","811","1","2019-03-20 15:54:45"
"455","PUF18","3277","16928","NA","dccs","lav68th03o474h61pnk2jdqol6","pub_L6r-1nT4_H","3.97436","2018-10-23 08:53:07","39","31","4","0","2.42063","6","3","1005.33","984","246.693","984","0.5","23","18","1353.67","1062.5","737.67","980","0.782609","2019-03-20 15:54:44"
"454","PUF18","3277","16922","NA","dccs","a2q61co1511pgt40g3ig32hg44","pub_39Q74NwpSF","7.46697","2018-10-16 09:06:16","39","38","5","1","2.59518","6","5","981.8","908","177.039","908","0.833333","23","23","1184.65","713","1495.14","709","1","2019-03-20 15:54:40"
