"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"628","PUF18","3275","18703","NA","flanker","cbeu2eackuu35983rtohc6dg32","Dumuiic5R7","6.90016","2018-12-19 10:12:16","42","41","5","1","2.01921","16","16","1989.81","1005","2643.28","1005","1","16","15","818.6","835","239.601","835","0.9375","2018-12-20 17:48:41"
"629","PUF18","3275","18661","NA","flanker","3ughakc85cnvshjqbr19cpd1p6","4Y4BNym~Pb","6.60656","2018-11-28 10:10:20","42","38","5","1","2.08276","16","13","1290.15","971","976.433","971","0.8125","16","15","647.133","561","237.25","561","0.9375","2018-12-20 17:48:44"
"630","PUF18","3275","18618","NA","flanker","5so2moo0vk7d6vr39ghn6d8ec5","hbazoZR-ih","5.95198","2018-11-14 10:12:12","42","34","4","1","1.90436","16","8","2191.25","1069.5","2803.85","1069.5","0.5","16","16","805.812","670.5","311.404","670.5","1","2018-12-20 17:48:46"
"631","PUF18","3275","18617","NA","flanker","pv1mk3ueaurevofk2bcoijjkj1","3E1USEDjbQ","7.74049","2018-11-14 10:11:18","42","42","5","1","2.74049","16","16","952.188","690.5","834.244","680","1","16","16","858.5","695","649.136","692","1","2018-12-20 17:48:48"
"632","PUF18","3275","16747","NA","flanker","bes698458cqu1fm71suff8b9s7",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:48:49"
"633","PUF18","3275","18126","NA","flanker","pmetcp6h53s85rk2a2n79uuo16","QsQE6144AU","5","2018-10-23 08:38:39","14","14","5","1","0","0","0","0","0","0","0","0","4","4","583.25","569.5","86.9305","569.5","1","2018-12-20 17:48:51"
"634","PUF18","3275","17701","NA","flanker","r92aupud400ksfv99c5uojn5o0","yMCtQ9-oyR","8.27527","2018-10-23 14:35:08","42","42","5","1","3.27527","16","16","549.625","516.5","154.353","509","1","16","16","485.25","440.5","129.949","440.5","1","2018-12-20 17:48:54"
"635","PUF18","3275","17700","NA","flanker","tmsi3njp3pumhufvlg1vse0md0","tYA_XD0o1I","7.80694","2018-10-23 14:37:45","42","41","5","1","2.92599","16","15","740.4","615","349.483","615","0.9375","16","16","609.875","559.5","285.102","538","1","2018-12-20 17:48:56"
"636","PUF18","3275","17699","NA","flanker","4rmtqpsumk6nq821igblkt7of1","o5MsfFCbsI","5.8579","2018-10-23 14:33:31","42","40","5","1","1.096","16","14","2384.14","1638.5","2527.58","1657","0.875","16","16","1739.38","1439","1485.93","1431","1","2018-12-20 17:48:57"
"637","PUF18","3275","17698","NA","flanker","ss0qv5o9h02mujcqa7hpfl1e34","vlkLwZewGw","3.57143","2018-10-23 14:34:08","42","30","4","0","0.82978","16","5","2284.6","1914","1650.11","1914","0.3125","16","15","972.4","727","507.192","727","0.9375","2018-12-20 17:48:59"
"638","PUF18","3275","17697","NA","flanker","88vlfu7fnh8c410p73dv13dq33","YuX2p8FJgF","5.29891","2018-11-27 14:31:26","42","36","4","1","1.0132","16","12","2165.08","1733","1205.74","1733","0.75","16","14","1034.71","805","539.078","805","0.875","2018-12-20 17:49:01"
"639","PUF18","3275","17696","NA","flanker","3qu5ns1i9c4qplsq333r3va2n3","EEjm-91t2-","7.03304","2018-10-23 14:35:09","42","42","5","1","2.03304","16","16","1015.44","997.5","406.672","997.5","1","16","16","758.938","639","287.745","639","1","2018-12-20 17:49:04"
"640","PUF18","3275","17695","NA","flanker","tvbhcaven792khiv4dr17o6915","-1fwmOPJyy","8.43203","2018-10-23 14:35:18","42","40","5","1","3.67012","16","15","509","411","195.49","411","0.9375","16","15","788.467","471","1123.87","463.5","0.9375","2018-12-20 17:49:05"
"641","PUF18","3275","17691","NA","flanker","eahv4qbjs1u9l4t68nq04o3pd0","9lEPaUXEuw","7.80402","2018-10-30 14:32:49","42","42","5","1","2.80402","16","16","858.25","671.5","624.288","657","1","16","16","605.438","546","155.902","546","1","2018-12-20 17:49:10"
"642","PUF18","3275","17690","NA","flanker","lto89b3tnmha60knsqqk1uuao0","a@f1yQ26uP","7.28038","2018-10-23 14:34:25","42","39","5","1","2.63752","16","14","1042.57","719","650.04","719","0.875","16","15","551.533","547","105.746","547","0.9375","2018-12-20 17:49:12"
"643","PUF18","3275","17689","NA","flanker","90pp1pncrniehp4t3o4ivfu351","rtQr-ftN3W","8.20411","2018-10-23 14:34:04","42","42","5","1","3.20411","16","16","544.375","529","129.353","529","1","16","16","477.5","453","103.979","453","1","2018-12-20 17:49:15"
"644","PUF18","3275","17688","NA","flanker","7u5g0g9tsrhba609sisa2laqj3","Q1QbJ49Yn5","7.45019","2018-10-30 14:33:39","42","40","5","1","2.68828","16","14","701.357","699.5","223.095","699.5","0.875","16","16","601.375","552.5","214.655","544","1","2018-12-20 17:49:17"
"645","PUF18","3275","17687","NA","flanker","6i93kahsggk8plugedj6034vh5","zV~NRRrdNf","5.81277","2018-10-23 14:35:46","42","40","5","1","1.05087","16","14","3030.86","1794.5","3228.85","1698","0.875","16","16","1210.75","977","739.059","915","1","2018-12-20 17:49:20"
"646","PUF18","3275","17686","NA","flanker","ivue8ia06jvb136tvticfhtsc0","pQDAtZTo-O","3.45238","2018-10-30 14:33:50","42","29","3","0","3.4422","16","3","504.333","465","191.061","465","0.1875","16","16","686.688","562","348.446","562","1","2018-12-20 17:49:21"
"647","PUF18","3275","17685","NA","flanker","brmsk3i6tg56ip92061n853an5","egdQUQu@Vb","7.75806","2018-10-23 14:34:50","42","41","5","1","2.87711","16","16","838.312","631.5","557.104","631.5","1","16","15","571.533","535","145.606","535","0.9375","2018-12-20 17:49:33"
"648","PUF18","3275","17684","NA","flanker","33p1pnon0rh94oco048el8gln1","ZueUHTbn0x","6.4187","2018-10-30 14:33:45","42","38","5","1","1.89489","16","12","2419.33","1082.5","4675.77","1075","0.75","16","16","1114.75","1048.5","555.455","1031","1","2018-12-20 17:49:35"
"649","PUF18","3275","17683","NA","flanker","tl76nm62o22s646q16ed5mbsp7","KXrZ@RsvjM","7.91999","2018-10-23 14:36:03","42","42","5","1","2.91999","16","16","653.25","625","147.595","617","1","16","16","679.812","518.5","446.418","511","1","2018-12-20 17:49:37"
"650","PUF18","3275","17682","NA","flanker","cgvv6v1j446r5so6cn2c5cc9d0","65z-nXMrVG","7.38238","2018-10-23 14:32:16","42","41","5","1","2.50142","16","16","888.375","774","394.251","774","1","16","15","745.8","719","237.49","719","0.9375","2018-12-20 17:49:39"
"651","PUF18","3275","17681","NA","flanker","senqsr3k8nhavflg9m1o46a9f1","icEl-wdon4","7.60948","2018-10-23 14:35:00","42","42","5","1","2.60948","16","16","852.875","730","414.116","730","1","16","16","721.938","608","292.963","608","1","2018-12-20 17:49:41"
"652","PUF18","3275","17680","NA","flanker","5lmvko0mb7d329k2hjqkklc653","BK2tqMQ4~8","8.35924","2018-10-30 14:39:01","42","41","5","1","3.47829","16","16","436.938","455","261.986","456","1","16","15","394.067","387","86.7776","387","0.9375","2018-12-20 17:49:43"
"653","PUF18","3275","17679","NA","flanker","qv2cum97juqamj8fbt0366q2c1","tJ2Usrp9Ws","7.55798","2018-10-23 14:35:13","42","38","5","1","3.03417","16","14","910.857","644","769.637","580","0.875","16","14","607.929","576","166.455","576","0.875","2018-12-20 17:49:44"
"654","PUF18","3275","17678","NA","flanker","1g0vr7elaa85ki5vi3m675rpe3","fGIATMQCEi","7.63111","2018-10-23 14:35:53","42","42","5","1","2.63111","16","16","1141.06","721.5","892.09","721.5","1","16","16","715.688","655.5","283.827","655.5","1","2018-12-20 17:49:46"
"655","PUF18","3275","17677","NA","flanker","j49a7mha8s2u2alithd7japtl7","0Vxy0dgDap","6.97532","2018-10-23 14:32:38","42","36","4","1","2.6896","16","12","1048.17","699","936.552","699","0.75","16","14","1245.5","845","1062.98","845","0.875","2018-12-20 17:49:48"
"656","PUF18","3275","17672","NA","flanker","uso29ohllmrgj67a694k5b1801","2PZ2bqlYRG","3.80952","2018-10-30 14:05:44","42","32","4","0","0","16","7","5807.14","4452","3658.08","3000","0.4375","16","15","1098","900","508.063","900","0.9375","2018-12-20 17:49:59"
"657","PUF18","3275","17671","NA","flanker","onoiufna6fp3fptbk1prnj8ep3","ogFzc-_IBU","8.02465","2018-10-30 14:01:06","42","42","5","1","3.02465","16","16","819.812","592.5","506.58","583","1","16","16","613.75","561.5","131.977","561.5","1","2018-12-20 17:50:01"
"658","PUF18","3275","17670","NA","flanker","e3001m7gel6fujrv6l49v6e786","abP7KpMD1A","8.22082","2018-10-23 13:55:41","42","41","5","1","3.33987","16","15","617.467","497","369.53","491.5","0.9375","16","16","703.625","523.5","439.973","523.5","1","2018-12-20 17:50:03"
"659","PUF18","3275","17669","NA","flanker","87u18roadedsu0lpu3p2m8ga04","mrhI3Kgoma","3.57143","2018-10-30 13:58:43","42","30","4","0","1.10886","16","4","1941.25","1645.5","1323.8","1645.5","0.25","16","16","1722.31","746","3964.08","741","1","2018-12-20 17:50:05"
"660","PUF18","3275","17668","NA","flanker","4i8fe6avsrhr1obsc088s8k4g7","mC6CTR8N-P","7.88003","2018-10-30 13:55:42","42","42","5","1","2.88003","16","16","661","630.5","218.497","630.5","1","16","16","601.75","577","132.94","577","1","2018-12-20 17:50:07"
"661","PUF18","3275","17667","NA","flanker","ehdame53a6db1srsu7a5m3l2v4","TGJk9McaVy","7.86981","2018-10-23 13:57:46","42","42","5","1","2.86981","16","16","904.688","648","713.069","634","1","16","16","909","663","836.961","612","1","2018-12-20 17:50:09"
"662","PUF18","3275","17666","NA","flanker","819bj5gjmohqbupbteqeupvvm0","y2@p3aHZmE","3.21429","2018-10-30 13:54:40","42","27","3","0","1.71502","16","6","1170.83","1185","533.351","1185","0.375","16","11","1021.36","1028","309.784","1028","0.6875","2018-12-20 17:50:10"
"663","PUF18","3275","17665","NA","flanker","prej76jfa3avm6fufutl91mgd1","N9b7GhbOf_","6.97772","2018-10-23 13:58:09","42","35","4","1","2.81106","16","10","629.7","654.5","266.208","654.5","0.625","16","15","624.333","536","445.406","505.5","0.9375","2018-12-20 17:50:12"
"664","PUF18","3275","17663","NA","flanker","75nt8ak7v77dqnvbut0euvfj14","pBS_Nu93tZ","3.45238","2018-10-23 13:56:00","42","29","3","0","2.56451","16","6","6149.83","812.5","13123.4","748","0.375","16","13","640.538","591","208.213","591","0.8125","2018-12-20 17:50:15"
"665","PUF18","3275","17662","NA","flanker","551snu5q7g6ql9r6diqrfirgo1","IOt_KX7kpI","3.45238","2018-10-23 13:56:29","42","29","3","0","1.78164","16","4","1519.75","1143","1292.77","1143","0.25","16","15","893.133","778","502.919","747","0.9375","2018-12-20 17:50:17"
"666","PUF18","3275","17661","NA","flanker","rslrlr2dd8pql5mut9fir0k385","pz@u3FRNLT","3.92857","2018-10-30 13:55:11","42","33","4","0","2.89031","16","7","1677.14","627","2664.21","627","0.4375","16","16","897.312","736","404.52","736","1","2018-12-20 17:50:19"
"667","PUF18","3275","17659","NA","flanker","ugi8tr5uc7ntsul5fk0gocvjp6","EbKEFCvK2W","7.31941","2018-10-23 13:55:04","42","38","5","1","2.7956","16","13","730.231","660","184.033","660","0.8125","16","15","543.533","500","106.253","500","0.9375","2018-12-20 17:50:23"
"668","PUF18","3275","17657","NA","flanker","k19m8c2bsjf96qh4ot9rsg5iu1","TcAKur4s4T","6.92327","2018-10-23 13:58:07","42","41","5","1","2.04232","16","16","1053.88","992.5","425.07","992.5","1","16","15","1107.87","685","1497.15","684.5","0.9375","2018-12-20 17:50:25"
"669","PUF18","3275","17655","NA","flanker","6qo9lpuv3hnukqaeja4mo20ma2","Py1K@qguik","6.62581","2018-10-30 13:57:49","42","41","5","1","1.74486","16","15","1412.73","1166","680.799","1166","0.9375","16","16","1110.5","811","794.023","773","1","2018-12-20 17:50:29"
"670","PUF18","3275","17654","NA","flanker","n62lj8drqmnidu7us8ujp0k836","r8lcU5EuAN","7.63623","2018-10-23 13:59:42","42","42","5","1","2.63623","16","16","821.062","719.5","304.583","719.5","1","16","16","810.375","548","729.423","547","1","2018-12-20 17:50:32"
"671","PUF18","3275","17653","NA","flanker","g5jrdobm68q4t47nc35nd58o71","gKUGstm2nX","7.2467","2018-10-23 14:00:55","42","40","5","1","2.4848","16","14","1494.43","787","1843.63","781","0.875","16","16","1521","813.5","1840.23","724","1","2018-12-20 17:50:33"
"672","PUF18","3275","17651","NA","flanker","mhalnehecbbqc7hu6q7v8cfa64","8wQ3D-8J-s","6.76344","2018-10-23 13:57:57","42","36","4","1","2.47772","16","11","1155.91","784","850.087","784","0.6875","16","15","649","602","204.922","571","0.9375","2018-12-20 17:50:36"
"673","PUF18","3275","17645","NA","flanker","7ba5h256hegii5qml1ohs32460","cTjfPtyKFw","3.80952","2018-10-30 13:21:27","42","32","4","0","2.22912","16","7","917.429","848","477.758","897","0.4375","16","15","762.267","610","496.82","910","0.9375","2018-12-20 17:50:46"
"674","PUF18","3275","17642","NA","flanker","87nfjq1oicarb47ph7vmiccku0",,"5","0000-00-00 00:00:00","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2018-12-20 17:50:51"
"675","PUF18","3275","17642","NA","flanker","darrhja936rrmcb5brrmcuh0b6","oqUF7l25jp","6.79245","2018-10-30 13:11:26","42","38","5","1","2.26865","16","12","1020.42","878","527.018","878","0.75","16","16","663.5","615","225.33","615","1","2018-12-20 17:50:52"
"676","PUF18","3275","17641","NA","flanker","qbest2dplirtau4c3nm0bfcg63","NklDaoRcwq","7.623","2018-10-23 13:16:08","42","40","5","1","2.8611","16","15","807.933","662","549.842","637","0.9375","16","15","561.533","519","176.165","519","0.9375","2018-12-20 17:50:53"
"677","PUF18","3275","17640","NA","flanker","8da5qdh3u24ngmh1vmqhk9aci3","rNY5GmG8Yo","8.34512","2018-10-23 13:15:10","42","41","5","1","3.46417","16","15","515.467","461","221.18","459.5","0.9375","16","16","440.688","410","151.774","407","1","2018-12-20 17:50:55"
