"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","nondominant_cntTotal","nondominant_cntCorrect","nondominant_rtMean","nondominant_rtMedian","nondominant_rtStDev","nondominant_nihMedian","nondominant_accuracy_Fieldname","dominant_cntTotal","dominant_cntCorrect","dominant_rtMean","dominant_rtMedian","dominant_rtStDev","dominant_nihMedian","dominant_accuracy_Fieldname","reportDate"
"553","PUF18a","3300","16997","NA","dccs","d4sv2j9a4ad144rsttvunq4896","pub_M@Gcxe3ijR","8.0053","2018-10-09 09:04:13","40","37","5","1","3.3803","7","6","631.167","632.5","127.465","632.5","0.857143","23","21","802.857","651","377.312","651","0.913043","2019-03-20 16:04:33"
"552","PUF18a","3300","16995","NA","dccs","hgls1ol6usbdcthjb8l6rf40l5","pub_SYsdcRjIkC","5.85425","2018-10-09 09:04:43","40","35","4","1","1.47925","7","4","1629.25","1518","802.366","1518","0.571429","23","21","1003.52","898","375.73","898","0.913043","2019-03-20 16:04:31"
"551","PUF18a","3300","16989","NA","dccs","kh2rp0ispc91pm81snnbolrs33","pub_LGox3AoKgi","7.45748","2018-10-09 09:07:55","40","37","5","1","2.83248","7","6","865.333","814","172.457","814","0.857143","23","21","896.476","742","440.92","742","0.913043","2019-03-20 16:04:29"
"550","PUF18a","3300","16992","NA","dccs","9ddp0scabo9cb95rgr4rk314e4","pub_xfEBX15-td","7.74156","2018-10-09 09:09:47","40","38","5","1","2.99156","7","6","850.167","756.5","259.505","756.5","0.857143","23","22","817.818","584","530.504","580","0.956522","2019-03-20 16:04:28"
"549","PUF18a","3300","16931","NA","dccs","sd4vm9jnecl0otl72nuggv6qq4","pub_gJ1bU7n1Iz","6.62172","2018-10-09 09:09:14","40","38","5","1","1.87172","7","7","1380","1267","358.671","1267","1","23","21","1083.57","940","439.475","940","0.913043","2019-03-20 16:04:26"
"548","PUF18a","3300","16993","NA","dccs","mm2olpq7mj7dv1o2qua7aedd84","pub_6Rbc7OpMJl","6.70846","2018-10-09 09:10:20","40","36","5","1","2.20846","7","4","1126.5","1085","326.736","1085","0.571429","23","22","2063.86","1501","2202.75","1431","0.956522","2019-03-20 16:04:24"
"547","PUF18a","3300","16987","NA","dccs","ad9d7vda9kgc8rq66neurqnq47","pub_cqkdoUHJY~","7.43213","2018-10-09 09:10:55","40","35","4","1","3.05713","7","5","796.4","734","168.733","734","0.714286","23","20","1177.35","725.5","1299.76","713","0.869565","2019-03-20 16:04:22"
"546","PUF18a","3300","17264","NA","dccs","ls6spfsm1865qipqsol9crf0k5","pub_wY6-JlHBMi","8.31937","2018-10-09 09:08:54","23","23","5","1","3.31937","2","2","650.5","650.5","170.413","650.5","1","11","11","745.364","691","259.656","691","1","2019-03-20 16:04:20"
"545","PUF18a","3300","16923","NA","dccs","bs700la6qiacdo6jpf4gaog347","pub_xke-uQ8hiE","6.99111","2018-10-09 09:08:44","23","19","4","1","2.86068","2","2","803.5","803.5","10.6066","803.5","1","11","7","865.143","634","506.859","634","0.636364","2019-03-20 16:04:18"
"544","PUF18a","3300","16932","NA","dccs","rfcs8pj727uku569st97s2biu7","pub_gUsj_ts18c","8.62173","2018-10-09 09:09:56","35","31","4","1","4.19316","5","3","438","435","62.554","435","0.6","20","18","515.556","478","99.6436","478","0.9","2019-03-20 16:04:16"
"543","PUF18a","3300","16934","NA","dccs","028uvticeedsve9gr0icqj0is3","pub_0kGzZf7Y8m","3.27586","2018-10-09 09:10:07","29","19","3","0","2.86609","4","4","799.5","801.5","264.162","801.5","1","15","5","759.2","554","560.957","554","0.333333","2019-03-20 16:03:59"
"542","PUF18a","3300","16933","NA","dccs","n1aq97el0et19kg7kna7c5d2t0","pub_C7av70fId~","2.59259","2018-10-09 09:10:16","27","14","3","0","3.80559","3","3","562","520","91.5369","520","1","14","1","419","419","0","419","0.0714286","2019-03-20 16:03:56"
"541","PUF18a","3300","16983","NA","dccs","ded3qcuu45c7g6huvcft0ctta7","pub_9xsKb~7PKu","7.71942","2018-10-09 09:11:18","39","37","5","1","2.97583","7","7","846.571","762","260.987","762","1","22","20","1060.05","1051.5","462.274","1051.5","0.909091","2019-03-20 16:03:50"
"540","PUF18a","3300","16921","NA","dccs","iqf38hl9r2mfp0m5ssha018d01","pub_x4EGwo7wK8","7.2896","2018-10-09 09:10:28","35","32","5","1","2.71817","5","3","858.667","858","71.0023","858","0.6","20","19","557.632","538","92.6314","538","0.95","2019-03-20 16:03:44"
"539","PUF18a","3300","16929","NA","dccs","7cfr4s8114ufa6fhkm02vflde5","pub_ROvbWWk79e","5","2018-10-09 09:08:58","14","14","5","1","0","0","0","0","0","0","0","0","4","4","2376.5","2473","419.499","2473","1","2019-03-20 16:03:42"
"538","PUF18a","3300","16928","NA","dccs","fusitqcgmo9b6ol7hcpmkcfok0","pub_BHtN~qkyG9","5","2018-10-09 09:09:38","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:03:39"
"537","PUF18a","3300","16920","NA","dccs","osdk1engfu2ujbgskdv1u9orr5","pub_0gQBxal0ME","5","2018-10-09 09:09:23","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:03:37"
"536","PUF18a","3300","17269","NA","dccs","efuqeqh3tt6mr6567r3args6n5","pub_efXuv@jnJ2","7.4363","2018-10-09 09:11:36","40","36","5","1","2.9363","7","5","741.4","776","136.906","776","0.714286","23","21","848.095","755","390.675","755","0.913043","2019-03-20 16:03:35"
"535","PUF18a","3300","16982","NA","dccs","upfo7j3ve0qc1lnutafjfid8d6","pub_GGyoeBiW5m","7.82956","2018-10-09 09:10:55","40","39","5","1","2.95456","7","6","837.167","769.5","360.216","769.5","0.857143","23","23","842","723","406.963","723","1","2019-03-20 16:03:33"
"534","PUF18a","3300","16926","NA","dccs","0bh87rjf6nopvoakrsef1gkpk4","pub_jGAe1SeyQ~","5","2018-10-09 09:09:47","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:03:30"
"533","PUF18a","3300","16927","NA","dccs","upjjeh7nqdsqm7c20p042e76d4","pub_n1BW12DBVV","6.66935","2018-10-23 08:53:23","38","31","4","1","2.5904","6","5","965.6","910","350.895","910","0.833333","22","16","1314.44","1137","855.396","1097","0.727273","2019-03-20 16:03:28"
"532","PUF18a","3300","16927","NA","dccs","vpac1l9o8i5omqmhah493d7136","pub_-gvOxzXbla","6.44926","2018-10-16 08:50:18","40","37","5","1","1.82426","7","6","1674.5","1295","948.186","1295","0.857143","23","21","1143.19","905","1138.04","886","0.913043","2019-03-20 16:03:27"
"531","PUF18a","3300","16925","NA","dccs","7d77g35m7hi44273r2nq0tmmf7","pub_Q6NKxDqWJw","5","2018-10-09 09:10:08","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:03:25"
"530","PUF18a","3300","16988","NA","dccs","t8ri3klna4l3jiafm9355cq033","pub_tzByaxfS7_","7.36408","2018-10-09 09:10:55","40","34","4","1","3.11408","7","4","742","715","90.3143","715","0.571429","23","20","725.95","621","360.122","618","0.869565","2019-03-20 16:03:23"
"529","PUF18a","3300","16924","NA","dccs","aici4c2nulmnb30kb3fsi9opq5","pub_OZR-7qVDYJ","5","2018-10-09 09:10:35","10","10","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-03-20 16:03:21"
"528","PUF18a","3300","16985","NA","dccs","na7p5h9lu52ffb2l5kj32og416","pub_gXjv-PFzJA","8.28132","2018-10-09 09:11:23","40","40","5","1","3.28132","7","7","639.571","662","154.318","662","1","23","23","514.13","452","162.584","452","1","2019-03-20 16:03:15"
"527","PUF18a","3300","16986","NA","dccs","2shv515993l8j2rllq34n70cc4","pub_LTL@GOXvf6","6.44591","2018-10-09 09:11:04","40","37","5","1","1.82091","7","5","1258.6","1297","217.535","1297","0.714286","23","22","1184.91","978","934.122","955","0.956522","2019-03-20 16:03:13"
"526","PUF18a","3300","16990","NA","dccs","qf29ie8g9ta2jqa4m5la99rj70","pub_9ltpE4FEd2","7.13866","2018-10-09 09:12:44","40","36","5","1","2.63866","7","6","925.667","890","236.405","890","0.857143","23","20","829.8","794","274.459","794","0.869565","2019-03-20 16:03:12"
"525","PUF18a","3300","16991","NA","dccs","ireokvtr7m9fk0l2tj54keglb5","pub_7J@0oKvqcd","6.50615","2018-10-09 09:12:15","40","32","4","1","2.50615","7","5","1030.8","946","263.722","946","0.714286","23","17","969.235","640","567.969","640","0.73913","2019-03-20 16:03:10"
"524","PUF18a","3300","17023","NA","dccs","0k3elj5tu25nnf2tupois4vc45","pub_wK~iWa@kd0","8.31184","2018-10-09 09:36:55","40","35","4","1","3.93684","7","6","580","489.5","208.467","489.5","0.857143","23","19","969.579","923","457.678","923","0.826087","2019-03-20 16:03:06"
"523","PUF18a","3300","17272","NA","dccs","74ncsddjufedr06uj8o9ldg361","pub_a845CWBVu@","8.23402","2018-10-09 09:38:59","40","38","5","1","3.48402","7","5","654","603","243.083","603","0.714286","23","23","816.217","724","418.227","703","1","2019-03-20 16:03:02"
