"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"1189","present","3479","17033","NA","flanker","7brbo583q0e6jktuvjomdha0e6","L3-2_Gqf8h","7.09021","2018-10-16 09:24:58","42","39","5","1","2.44736","16","13","1257.62","797","961.731","797","0.8125","16","16","1093.31","777.5","808.157","777.5","1","2018-12-21 15:21:01"
"1190","present","3479","17032","NA","flanker","u5kbctab3739k6m80h407mgsp4","m64IlZY@mo","3.09524","2018-10-16 09:24:28","42","26","3","0","5","16","2","104.5","104.5","115.258","200","0.125","16","14","1863.64","744","3259.17","744","0.875","2018-12-21 15:21:02"
"1191","present","3479","17031","NA","flanker","3r00f061bfsrotlg00vuqp7e92","h-a-C6R@Sb","6.24082","2018-10-16 09:24:51","42","42","5","1","1.24082","16","16","1623.81","1532","820.247","1532","1","16","16","1177.19","867","908.28","866","1","2018-12-21 15:21:04"
"1192","present","3479","17030","NA","flanker","uvdv0i48vkjq5nd671slmdobh0","QL9XJ4oti0","5.9116","2018-10-16 09:25:52","42","39","5","1","1.26875","16","13","2859","1664","3070.56","1509","0.8125","16","16","811.812","878","169.263","878","1","2018-12-21 15:21:05"
"1193","present","3479","17029","NA","flanker","4ukdm4sukk93tjl3k0lin76ve5","n@gAXiE4Kr","7.21476","2018-10-16 09:24:42","42","42","5","1","2.21476","16","16","1093.12","907.5","856.677","904","1","16","16","796.125","790","134.243","790","1","2018-12-21 15:21:06"
"1194","present","3479","17028","NA","flanker","k32fj7mpmc23fogpabqqm8och6","zjj~ZPihrI","8.23591","2018-10-16 09:39:00","42","41","5","1","3.35495","16","16","543.75","487.5","155.916","487.5","1","16","15","485","489","66.9989","489","0.9375","2018-12-21 15:21:08"
"1195","present","3479","17017","NA","flanker","klc6r0dt0tj6ohn5girtcsj1h5","fIin5TeT0-","8.08681","2018-10-16 09:23:31","42","41","5","1","3.20586","16","15","748.733","540","665.706","528.5","0.9375","16","16","590.062","515.5","184.225","515.5","1","2018-12-21 15:21:09"
"1196","present","3479","17016","NA","flanker","khelquacej018fv7br90j8luh1","P8zhMk6vLr","7.29388","2018-10-16 09:25:39","42","41","5","1","2.41293","16","15","876.6","812","433.035","812","0.9375","16","16","695.188","637.5","236.642","637.5","1","2018-12-21 15:21:11"
"1197","present","3479","17014","NA","flanker","tp3s71kd12h2u1ed5dmqd63ru5","gMIRJfZXlY","8.19541","2018-10-16 09:24:28","42","42","5","1","3.19541","16","16","620.812","531.5","231.408","531.5","1","16","16","569.562","465.5","232.333","464","1","2018-12-21 15:21:12"
"1198","present","3479","17013","NA","flanker","ikv6gst5h4j2nufsnd9u3c45m1","OgjJA3TfXs","7.99981","2018-10-16 09:25:24","42","41","5","1","3.11885","16","15","828.467","557","537.356","554","0.9375","16","16","597.812","529","202.006","529","1","2018-12-21 15:21:13"
