"id","accessCode","itemID","userID","participantID","task","sesID","instanceID","nihScore","dataTimestamp","trialsCount","trialsCorrect","nihAccuracy","nihAccPass","nihRTScore","INC_cntTotal","INC_cntCorrect","INC_rtMean","INC_rtMedian","INC_rtStDev","INC_nihMedian","INC_accuracy_Fieldname","CON_cntTotal","CON_cntCorrect","CON_rtMean","CON_rtMedian","CON_rtStDev","CON_nihMedian","CON_accuracy_Fieldname","reportDate"
"582","PRF18","3267","18128","NA","flanker","krd8qbj1kbi0909193o60iuic1","MOiaeEEvM9","2.97619","2018-10-25 11:02:05","42","25","3","0","1.81588","16","2","1122","1122","623.668","1122","0.125","16","13","987.077","899","703.983","899","0.8125","2018-12-20 17:43:25"
"583","PRF18","3267","17394","NA","flanker","7djdtigl3tr81d3ue56vuh9os1","fDEl25kybg","3.80952","2018-10-17 11:14:16","42","32","4","0","1.59732","16","7","874.571","613","748.3","1263","0.4375","16","15","1078.73","548","1667.49","546.5","0.9375","2018-12-20 17:43:29"
"584","PRF18","3267","17393","NA","flanker","27qf6kvta040afvu8afgqcmga1","kCpXgiAmUW","7.42008","2018-10-17 11:21:17","42","40","5","1","2.65818","16","15","1477.93","786","2690.38","711","0.9375","16","15","876.867","551","1253.34","542","0.9375","2018-12-20 17:43:32"
"585","PRF18","3267","17386","NA","flanker","edmqgb22a6uvtbs5h18tuc0ge0","ROPcel@Tfz","6.62073","2018-10-17 11:06:13","42","36","4","1","2.33501","17","12","1070.67","847","643.607","847","0.705882","15","14","848.643","786","339.18","786","0.933333","2018-12-20 17:43:37"
"586","PRF18","3267","17224","NA","flanker","6pjullm58guhffnpo3m0ls1pl2","as-1XH8sUJ","8.36329","2018-11-02 15:36:05","42","41","5","1","3.48234","16","15","488.667","461","97.5922","455","0.9375","16","16","539.5","447","250.659","445","1","2018-12-20 17:43:46"
"587","PRF18","3267","17223","NA","flanker","vthi33jjuabqtic7olnhilmo13","WzSc@4yZzf","3.33333","2018-11-02 15:30:57","42","28","3","0","2.05071","16","2","6568","6568","7891.31","988","0.125","16","16","928","546","1223.17","546","1","2018-12-20 17:43:49"
"588","PRF18","3267","17222","NA","flanker","7rot1tdf091afkp3spd7gepi55","~odWlXuSQd","3.57143","2018-11-02 15:31:56","42","30","4","0","2.99014","16","7","654","594","254.575","594","0.4375","16","13","486.615","437","120.364","437","0.8125","2018-12-20 17:43:51"
"589","PRF18","3267","17221","NA","flanker","g43pnkgo2mbgor44026emluqt6","tAKXnhrmOE","8.49137","2018-10-19 15:16:59","42","40","5","1","3.72946","16","15","446.867","402","149.791","398","0.9375","16","15","372.867","390","45.3886","390","0.9375","2018-12-20 17:43:59"
"590","PRF18","3267","17220","NA","flanker","87gb7brlqaog363hgr7difnb97","Z7cEKDCfLY","7.85758","2018-10-19 15:16:50","42","40","5","1","3.09567","16","14","559.786","561","101.373","561","0.875","16","16","499.062","420.5","164.537","420.5","1","2018-12-20 17:44:03"
"591","PRF18","3267","17219","NA","flanker","baj8dopmtsinaooktvksnefbc2","O0KaUSf02f","8.57598","2018-10-12 15:29:57","42","42","5","1","3.57598","16","16","450.062","432.5","68.117","432.5","1","16","16","425","403.5","78.5485","403.5","1","2018-12-20 17:44:04"
"592","PRF18","3267","17218","NA","flanker","r2okes5561oni8v12l9jt5m344","jVBr~iB7oD","8.56008","2018-10-12 15:15:24","42","41","5","1","3.67913","16","15","477.267","409","164.905","409","0.9375","16","16","551.688","386","606.497","386","1","2018-12-20 17:44:07"
"593","PRF18","3267","17217","NA","flanker","96jhhhpchajlbq75cnqu9vcv12","pxABCC_dcI","8.25722","2018-10-12 15:16:09","42","42","5","1","3.25722","16","16","647.5","514","284.475","514","1","16","16","773.5","479","1006.01","479","1","2018-12-20 17:44:09"
"594","PRF18","3267","17216","NA","flanker","m2mmaqjae3sgsq4mjbo4qff7v0","Pr4xVT5xz-","8.39129","2018-10-12 15:14:59","42","42","5","1","3.39129","16","16","497.25","478","89.4893","478","1","16","16","496.188","408.5","192.747","408.5","1","2018-12-20 17:44:12"
"595","PRF18","3267","17215","NA","flanker","nob1iq2jsren7vdl5lbmqps670","~jAJtHSj8y","7.68778","2018-10-12 15:15:32","42","41","5","1","2.80683","16","15","716.067","656","240.264","656","0.9375","16","16","572.688","535.5","181.021","524","1","2018-12-20 17:44:15"
"596","PRF18","3267","17214","NA","flanker","ukt07a13dqnqqqvklecpdupfb3","VWQYG5LjAj","8.19286","2018-10-12 15:18:17","42","41","5","1","3.31191","16","15","624.2","499","286.647","499","0.9375","16","16","723.5","536","392.275","536","1","2018-12-20 17:44:17"
"597","PRF18","3267","17348","NA","flanker","g6ea64mbs9tm62mf66ih1fblt7","plKNdxt7eA","3.09524","2018-10-17 11:10:05","42","26","3","0","0","16","2","3481.5","3481.5","1259.36","3000","0.125","16","14","1198.93","1057.5","468.967","1057.5","0.875","2018-12-20 17:44:19"
"598","PRF18","3267","17212","NA","flanker","naik6ijbentto2ogdjv8p95dm1","TB~JxJLC0I","8.45815","2018-10-17 11:01:48","42","42","5","1","3.45815","16","16","463.125","461","86.3496","461","1","16","16","401.125","390.5","65.5793","390.5","1","2018-12-20 17:44:24"
"599","PRF18","3267","17210","NA","flanker","dutspav0jed5mgeba0vc61brd4","aRJH1b~-Zq","7.4498","2018-10-10 11:10:50","42","38","5","1","2.92599","16","13","683.462","615","334.374","615","0.8125","16","15","581.133","572","155.933","572","0.9375","2018-12-20 17:44:26"
"600","PRF18","3267","17209","NA","flanker","ccarpuind05722sop70eej8b84","Q_9tLhl9W5","7.49072","2018-10-10 11:09:41","42","42","5","1","2.49072","16","16","808.938","778.5","251.875","778.5","1","16","16","721.75","591","304.685","560","1","2018-12-20 17:44:28"
"601","PRF18","3267","17208","NA","flanker","seo2a8is9h7n3e3umvrg09rci4","fapx1@hFYs","6.72133","2018-10-25 11:05:27","42","35","4","1","2.55466","15","8","902.625","752","525.12","752","0.533333","17","17","626.235","548","305.528","548","1","2018-12-20 17:44:30"
"602","PRF18","3267","17207","NA","flanker","eu17bhstsd2p40hrnep4fbub35","82FBZ~Is2A","6.34767","2018-10-10 11:09:13","42","36","4","1","2.06196","16","13","1310","982","1470.14","982","0.8125","16","13","1375.77","704","1900.97","704","0.8125","2018-12-20 17:44:32"
"603","PRF18","3267","17204","NA","flanker","edea6fpl1frnst7vuqavknoa11","tBWCQVIQ@2","6.7112","2018-10-10 11:16:28","42","38","5","1","2.18739","16","12","1698.83","917.5","1935.87","917.5","0.75","16","16","874.188","812","547.059","780","1","2018-12-20 17:44:39"
"604","PRF18","3267","17203","NA","flanker","j50h8e4g2sq5m0g4grp6bukgs2","1mYPOYZYez","5.81135","2018-10-10 11:12:05","42","36","4","1","1.52563","16","10","2426.8","1327","2968.63","1313","0.625","16","16","1017.5","1006","416.325","1006","1","2018-12-20 17:44:42"
"605","PRF18","3267","17202","NA","flanker","nob9r48grtrb7c3173l95gu2l0","DHgMw~rzfT","8.37889","2018-10-10 11:09:56","42","40","5","1","3.61699","16","14","595.429","439","533.138","423","0.875","16","16","584.5","423","554.925","423","1","2018-12-20 17:44:45"
"606","PRF18","3267","17201","NA","flanker","3sqo1a5n8j97k4ljttf4im6b25","kyy5B@NfvQ","6.55727","2018-10-10 11:09:31","42","37","4","1","2.15251","16","11","984.545","935","751.425","935","0.6875","16","16","639.938","548","245.508","548","1","2018-12-20 17:44:46"
"607","PRF18","3267","17200","NA","flanker","j4nechunrulp1l8c50v0n3ct55","rJfk3iOYPn","8.32304","2018-10-10 11:14:51","42","42","5","1","3.32304","16","16","775.688","505","884.27","496","1","16","16","478.188","432","132.742","432","1","2018-12-20 17:44:50"
"608","PRF18","3267","17199","NA","flanker","l2cfs1bdrrc1a8ue0m754h4jr7","Z003GNgsfT","3.69048","2018-10-10 11:08:10","42","31","4","0","2.33829","16","8","1211.12","845.5","926.575","845.5","0.5","16","13","766.308","712","233.294","712","0.8125","2018-12-20 17:44:52"
"609","PRF18","3267","17198","NA","flanker","i7ie6l768v5mor92b4im2geti3","kPfCs9Q4Z4","7.08847","2018-10-10 11:15:24","42","42","5","1","2.08847","16","16","1295.94","968","691.208","968","1","16","16","762.625","533","461.347","533","1","2018-12-20 17:44:56"
"610","PRF18","3267","17197","NA","flanker","8j0lp0g02pcgqg2j0onmm9uej4","B@8G8zDFJM","3.57143","2018-10-10 11:09:09","42","30","4","0","0.151277","16","4","3735.75","2764","2179.64","2764","0.25","16","16","642.312","561","410.815","561","1","2018-12-20 17:44:59"
"611","PRF18","3267","17196","NA","flanker","p5qsv3qiocm53h4h4b4246k8p3","hdhhqEqO5v","7.7789","2018-10-10 11:10:46","42","42","5","1","2.7789","16","16","871.188","692.5","546.382","666","1","16","16","1026.38","762","595.688","762","1","2018-12-20 17:45:02"
"612","PRF18","3267","17195","NA","flanker","qd90opoe42i6p0gof3nli0g345","FPGzlPmJ4W","7.5574","2018-10-10 11:22:42","42","41","5","1","2.67644","16","15","804.333","704","315.188","704","0.9375","16","16","1158.69","615","1782.65","558","1","2018-12-20 17:45:06"
"613","PRF18","3267","17194","NA","flanker","sdkkfo21k1phr1fl160ls3k8o6","rAra~aei8p","6.71336","2018-10-25 11:04:31","42","41","5","1","1.83241","16","16","1974.88","1148.5","2502.79","1112","1","16","15","1610.47","1078","1144.79","1078","0.9375","2018-12-20 17:45:10"
