"","accessCode","userID","fastestRT_diff_Easy","fastestRT_diff_Medium","fastestRT_diff_Difficult","highestLevel_diff_Easy","highestLevel_diff_Medium","highestLevel_diff_Difficult","highestLevelTrialCount_diff_Easy","highestLevelTrialCount_diff_Medium","highestLevelTrialCount_diff_Difficult","trialCount_diff_Easy","trialCount_diff_Medium","trialCount_diff_Difficult","nLevels_diff_Easy","nLevels_diff_Medium","nLevels_diff_Difficult","timePlayed_difficulty_Easy","timePlayed_difficulty_Medium","timePlayed_difficulty_Difficult","HITS_diff_Easy","HITS_diff_Medium","HITS_diff_Difficult","Hit_AvgRT_diff_Easy","Hit_AvgRT_diff_Medium","Hit_AvgRT_diff_Difficult","Hit_SDRT_diff_Easy","Hit_SDRT_diff_Medium","Hit_SDRT_diff_Difficult","MISSED_diff_Easy","MISSED_diff_Medium","MISSED_diff_Difficult","Miss_AvgRT_diff_Easy","Miss_AvgRT_diff_Medium","Miss_AvgRT_diff_Difficult","Miss_SDRT_diff_Easy","Miss_SDRT_diff_Medium","Miss_SDRT_diff_Difficult","WRONG_diff_Easy","WRONG_diff_Medium","WRONG_diff_Difficult","Wrong_AvgRT_diff_Easy","Wrong_AvgRT_diff_Medium","Wrong_AvgRT_diff_Difficult","Wrong_SDRT_diff_Easy","Wrong_SDRT_diff_Medium","Wrong_SDRT_diff_Difficult","highestLevelPct_diff_Easy","highestLevelPct_diff_Medium","highestLevelPct_diff_Difficult","percentCorrect_diff_Easy","percentCorrect_diff_Medium","percentCorrect_diff_Difficult","HitRate_diff_Easy","HitRate_diff_Medium","HitRate_diff_Difficult","FARate_diff_Easy","FARate_diff_Medium","FARate_diff_Difficult","DPrime_diff_Easy","DPrime_diff_Medium","DPrime_diff_Difficult"
"1","ATHBF18","16845",0.05,0.101595,NA,"SpaceCakesLevel 0-4-11","SpaceCakesLevel 3-1-0",NA,30,32,NA,1560,932,NA,23,15,NA,"1298126","2419757",NA,1416,772,NA,1.08600761822034,1.22149685246114,NA,0.550060084371788,0.689597750749068,NA,4,0,NA,2.0314815,NA,NA,0.887349406576876,NA,NA,140,160,NA,1.25532543214286,1.18430282875,NA,0.954596880415929,0.782532477627326,NA,2,3,NA,91,83,NA,0.91,0.83,NA,0.09,0.17,NA,2.68151006738043,1.90833050629239,NA
"2","ATHBF18","16848",0.4337,0.0163,0.0356,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-2-0",90,120,52,1350,1240,372,11,15,6,"1297696","2418441","602685",1316,1156,321,1.07020357218845,1.31037666539792,1.70221800996885,0.496989899582921,0.541881439244258,0.792146264487285,0,0,1,NA,NA,1.2315,NA,NA,NA,34,84,50,1.88878207352941,1.33831285833333,2.169705898,1.29507676641746,0.595768387052566,1.17967090735011,7,10,14,97,93,86,0.97,0.93,0.86,0.03,0.07,0.14,3.7615872163025,2.95158205635834,2.16063868162991
"3","ATHBF18","16851",0.033355,0,NA,"SpaceCakesLevel 0-4-5","SpaceCakesLevel 2-2-3",NA,30,60,NA,944,880,NA,16,15,NA,"693126","603997",NA,782,639,NA,0.923540955485934,0.858735735039124,NA,0.595522851185121,0.676491414968752,NA,4,4,NA,0.5546,0.329785,NA,0.430444216827221,0.394207070247774,NA,158,237,NA,1.3909621443038,0.542887075147679,NA,1.14645856798657,0.552414524633541,NA,3,7,NA,83,73,NA,0.83,0.73,NA,0.17,0.27,NA,1.90833050629239,1.22562598203325,NA
"4","ATHBF18","16854",0.300175,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-0-0",NA,60,66,NA,990,1155,NA,10,13,NA,"1297863","2419437",NA,958,1034,NA,0.956294765762004,1.38646420754352,NA,0.650494385480881,0.743988836848641,NA,0,4,NA,NA,1.17616355,NA,NA,1.05230092644795,NA,32,117,NA,1.09439113125,1.37299935820513,NA,0.613738006873747,0.937884222863592,NA,6,6,NA,97,90,NA,0.97,0.89,NA,0.03,0.1,NA,3.7615872163025,2.50807968558121,NA
"5","ATHBF18","16857",0.366445,0.05722,0.316665,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-0-2",90,120,31,900,1289,191,9,16,4,"1297633","2418734","479",858,1154,143,1.34045804184149,1.58973343492201,2.2225099020979,0.854707245885179,0.836827643493149,0.92393744637006,0,2,0,NA,1.70137,NA,NA,2.40610052861471,NA,42,133,48,1.50353925952381,1.88373001428571,1.54658908125,1.00864954188866,1.15906286309565,1.07784541526056,10,9,16,95,90,75,0.95,0.89,0.75,0.05,0.1,0.25,3.28970725390294,2.50807968558121,1.34897950039216
"6","ATHBF18","16860",0.04927,0.01567,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-1-0",NA,60,66,NA,1065,766,NA,13,13,NA,"1297410","1814650",NA,1002,637,NA,1.03620166107784,1.24548590064364,NA,0.494667220546803,0.538093122831603,NA,0,10,NA,NA,1.419446,NA,NA,0.840365948751561,NA,63,119,NA,1.34704446349206,1.04213795462185,NA,0.670428512260916,0.578375804117696,NA,6,9,NA,94,83,NA,0.94,0.83,NA,0.06,0.16,NA,3.10954718919371,1.94862313635595,NA
"7","ATHBF18","16863",0,0.016455,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 2-3-1",NA,30,40,NA,1365,660,NA,19,11,NA,"1297817","1814519",NA,1071,480,NA,1.45141723996265,2.21507713479167,NA,1.13432430553416,1.32351475493226,NA,59,74,NA,0.951100262711864,1.07749202837838,NA,1.70810128452633,1.01014900993285,NA,235,106,NA,1.43584040038298,1.96357731132075,NA,1.5367674865233,1.64338409623944,NA,2,6,NA,78,73,NA,0.78,0.73,NA,0.17,0.16,NA,1.72635846733488,1.60727087422638,NA
"8","ATHBF18","16866",0,0.0174,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-0-3",NA,60,40,NA,1082,1107,NA,10,17,NA,"1297887","2418818",NA,912,828,NA,1.20823397138158,1.32747107403382,NA,0.705323128528793,0.799528252886817,NA,11,21,NA,1.09241772727273,0.860476266666667,NA,0.67418347986792,0.497827301540228,NA,159,258,NA,1.34779232389937,1.15408422829457,NA,1.07274949257445,0.785368641641664,NA,6,4,NA,84,75,NA,0.84,0.75,NA,0.15,0.23,NA,2.03089127270354,1.4133365993813,NA
"9","ATHBF18","16872",0.01706,0,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 2-3-2",NA,90,40,NA,840,1388,NA,9,25,NA,"1297593","2419128",NA,725,967,NA,2.05052949751724,2.27362589658738,NA,1.37176211754908,1.3946832445246,NA,6,57,NA,2.62575833333333,2.98191605263158,NA,1.57272635806839,1.82860784915074,NA,109,364,NA,2.64384169633028,2.30114242200549,NA,1.77509195211301,1.54611558060606,NA,11,3,NA,86,70,NA,0.86,0.7,NA,0.13,0.26,NA,2.20671046985376,1.16774591810096,NA
"10","ATHBF18","16875",0.383725,0.216605,0,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-3-0",90,120,27,1170,1249,367,11,14,6,"1297971","2418680","615393",1103,1148,331,1.2276702919311,1.38379902961672,1.72610132960725,0.836001617351376,0.728639251058945,0.750743821695287,0,7,2,NA,1.63047571428571,1.709225,NA,0.567514997565619,0.390322943214974,67,94,34,1.34216236850746,1.56293655638298,1.99075512058824,0.838017473452632,1.19913777915505,0.884031216819525,8,10,7,94,92,90,0.94,0.92,0.9,0.06,0.08,0.09,3.10954718919371,2.81014312061926,2.62230659923482
"11","ATHBF18","16878",0.016675,0,NA,"SpaceCakesLevel 0-4-1","SpaceCakesLevel 3-2-0",NA,30,30,NA,1829,1600,NA,12,21,NA,"1803749","2419488",NA,1738,1387,NA,1.40287671398159,1.82367721939438,NA,0.8045693743327,1.13226382556175,NA,12,2,NA,2.59193541666667,3.8112035,NA,0.798042718038265,0.766620423425113,NA,79,211,NA,2.28514122658228,1.93638720004739,NA,1.36709981492419,1.51736221461523,NA,2,2,NA,95,87,NA,0.95,0.87,NA,0.04,0.13,NA,3.39553969820364,2.2527822580776,NA
"12","ATHBF18","16881",0.09994,0.05007,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 3-1-0",NA,90,40,NA,1134,1320,NA,9,18,NA,"1297783","2418936",NA,1021,1076,NA,1.17098966013712,1.17204177360595,NA,0.57854267340617,0.489897144079459,NA,9,5,NA,0,1.7083372,NA,0,0.873875817223019,NA,104,239,NA,1.49597224240385,1.12079289790795,NA,0.81700399191937,0.607459936276808,NA,8,3,NA,90,82,NA,0.9,0.81,NA,0.09,0.18,NA,2.62230659923482,1.79326138289404,NA
