"","accessCode","userID","fastestRT_sess_1","fastestRT_sess_2","fastestRT_sess_3","fastestRT_sess_4","fastestRT_sess_5","fastestRT_sess_6","highestLevel_sess_1","highestLevel_sess_2","highestLevel_sess_3","highestLevel_sess_4","highestLevel_sess_5","highestLevel_sess_6","highestTrialCount_sess_1","highestTrialCount_sess_2","highestTrialCount_sess_3","highestTrialCount_sess_4","highestTrialCount_sess_5","highestTrialCount_sess_6","trialCount_sess_1","trialCount_sess_2","trialCount_sess_3","trialCount_sess_4","trialCount_sess_5","trialCount_sess_6","nLevels_sess_1","nLevels_sess_2","nLevels_sess_3","nLevels_sess_4","nLevels_sess_5","nLevels_sess_6","timePlayed_sess_1","timePlayed_sess_2","timePlayed_sess_3","timePlayed_sess_4","timePlayed_sess_5","timePlayed_sess_6","HITS_sess_1","HITS_sess_2","HITS_sess_3","HITS_sess_4","HITS_sess_5","HITS_sess_6","Hit_AvgRT_sess_1","Hit_AvgRT_sess_2","Hit_AvgRT_sess_3","Hit_AvgRT_sess_4","Hit_AvgRT_sess_5","Hit_AvgRT_sess_6","Hit_SDRT_sess_1","Hit_SDRT_sess_2","Hit_SDRT_sess_3","Hit_SDRT_sess_4","Hit_SDRT_sess_5","Hit_SDRT_sess_6","MISSED_sess_1","MISSED_sess_2","MISSED_sess_3","MISSED_sess_4","MISSED_sess_5","MISSED_sess_6","Miss_AvgRT_sess_1","Miss_AvgRT_sess_2","Miss_AvgRT_sess_3","Miss_AvgRT_sess_4","Miss_AvgRT_sess_5","Miss_AvgRT_sess_6","Miss_SDRT_sess_1","Miss_SDRT_sess_2","Miss_SDRT_sess_3","Miss_SDRT_sess_4","Miss_SDRT_sess_5","Miss_SDRT_sess_6","WRONG_sess_1","WRONG_sess_2","WRONG_sess_3","WRONG_sess_4","WRONG_sess_5","WRONG_sess_6","Wrong_AvgRT_sess_1","Wrong_AvgRT_sess_2","Wrong_AvgRT_sess_3","Wrong_AvgRT_sess_4","Wrong_AvgRT_sess_5","Wrong_AvgRT_sess_6","Wrong_SDRT_sess_1","Wrong_SDRT_sess_2","Wrong_SDRT_sess_3","Wrong_SDRT_sess_4","Wrong_SDRT_sess_5","Wrong_SDRT_sess_6","highestLevelPct_sess_1","highestLevelPct_sess_2","highestLevelPct_sess_3","highestLevelPct_sess_4","highestLevelPct_sess_5","highestLevelPct_sess_6","percentCorrect_sess_1","percentCorrect_sess_2","percentCorrect_sess_3","percentCorrect_sess_4","percentCorrect_sess_5","percentCorrect_sess_6","HitRate_sess_1","HitRate_sess_2","HitRate_sess_3","HitRate_sess_4","HitRate_sess_5","HitRate_sess_6","FARate_sess_1","FARate_sess_2","FARate_sess_3","FARate_sess_4","FARate_sess_5","FARate_sess_6","DPrime_sess_1","DPrime_sess_2","DPrime_sess_3","DPrime_sess_4","DPrime_sess_5","DPrime_sess_6"
"1","ATHBF18","16845",0.05,0.25029,0.33335,0.101595,NA,NA,"SpaceCakesLevel 1-3-0","SpaceCakesLevel 1-3-0","SpaceCakesLevel 0-4-11","SpaceCakesLevel 3-1-0",NA,NA,40,40,30,32,NA,NA,690,530,840,432,NA,NA,11,11,21,9,NA,NA,"1922","1775","2098","989",NA,NA,584,472,767,365,NA,NA,0.907043505479452,1.16365772288136,1.06651914797914,1.59945840712329,NA,NA,0.474934337799385,0.564526872700079,0.500983229177789,0.7721468007765,NA,NA,1,3,0,0,NA,NA,1.2182,2.30257533333333,NA,NA,NA,NA,NA,0.860309395043628,NA,NA,NA,NA,105,55,73,67,NA,NA,1.11509228952381,1.24310917090909,1.04729033972603,1.54218094776119,NA,NA,1.05245466395523,0.678069333299228,0.612896283919635,0.844050451242831,NA,NA,6,8,4,7,NA,NA,85,89,91,84,NA,NA,0.85,0.89,0.91,0.84,NA,NA,0.15,0.1,0.09,0.16,NA,NA,2.07286677898758,2.50807968558121,2.68151006738043,1.98891576641951,NA,NA
"2","ATHBF18","16848",0.0163,0.299935,0.4337,0.024,0.1501,NA,"SpaceCakesLevel 1-2-0","SpaceCakesLevel 2-3-0","SpaceCakesLevel 0-2-5","SpaceCakesLevel 3-4-0","SpaceCakesLevel 4-2-0",NA,80,60,120,80,52,NA,590,680,780,560,352,NA,9,15,7,10,7,NA,"1802","2043","1974","1526","914",NA,557,628,768,530,310,NA,1.19775330951526,1.21421881066879,0.941845677083333,1.50356139226415,1.67642671935484,NA,0.538410872053638,0.603527037116597,0.332266923105748,0.53911337561567,0.770547851633906,NA,0,0,0,0,1,NA,NA,NA,NA,NA,1.2315,NA,NA,NA,NA,NA,NA,NA,33,52,12,30,41,NA,1.55070021515152,1.45156091730769,1.4653333,1.72053984,2.17726087560976,NA,0.772420292955678,0.967943551651496,1.07558202883219,0.992433308289491,1.1630636272348,NA,14,9,15,14,15,NA,94,92,98,95,88,NA,0.94,0.92,0.98,0.95,0.88,NA,0.06,0.08,0.02,0.05,0.12,NA,3.10954718919371,2.81014312061926,4.10749782126364,3.28970725390294,2.34997358413218,NA
"3","ATHBF18","16851",0.33415,0.033355,0,0,NA,NA,"SpaceCakesLevel 0-3-1","SpaceCakesLevel 0-4-5","SpaceCakesLevel 2-2-3","SpaceCakesLevel 2-2-0",NA,NA,30,30,60,40,NA,NA,449,495,600,280,NA,NA,8,13,13,7,NA,NA,"1805","1976","1687","662",NA,NA,358,424,422,217,NA,NA,0.986682441340782,0.870228097146226,0.822346304478673,0.929502277419355,NA,NA,0.713248691040456,0.468216529789357,0.715159907793398,0.58928391986168,NA,NA,0,4,4,0,NA,NA,NA,0.5546,0.329785,NA,NA,NA,NA,0.430444216827221,0.394207070247774,NA,NA,NA,91,67,174,63,NA,NA,1.66598909010989,1.01741808358209,0.514562188563218,0.621117714285714,NA,NA,1.32282634253197,0.703188843226859,0.509897636150179,0.653943196172304,NA,NA,7,6,10,14,NA,NA,80,86,70,78,NA,NA,0.8,0.86,0.7,0.77,NA,NA,0.2,0.14,0.29,0.23,NA,NA,1.68324246714583,2.16063868162991,1.07778523226371,1.47769369837043,NA,NA
"4","ATHBF18","16854",0.300175,0,0.38314,0.033345,0.7008051,NA,"SpaceCakesLevel 1-2-0","SpaceCakesLevel 2-0-0","SpaceCakesLevel 0-2-5","SpaceCakesLevel 3-0-0","SpaceCakesLevel 3-0-0",NA,49,40,60,43,23,NA,589,330,600,463,163,NA,10,7,7,6,3,NA,"1975","1456","1783","1683","708",NA,545,300,590,401,156,NA,1.03155324697248,1.19923309366667,0.905189959322034,1.62091247456359,1.56230737307692,NA,0.586344877960105,0.716311306490614,0.663588646880617,0.747283080287482,0.75405958182797,NA,1,0,0,0,3,NA,0,NA,NA,NA,1.56821806666667,NA,NA,NA,NA,NA,0.859514627840861,NA,43,30,10,62,4,NA,1.12557257906977,1.23049355333333,0.9228461,1.56770108725806,0.9802713,NA,0.701331676857168,0.761380183906047,0.557134694097289,1.0504835323853,0.357983978202135,NA,8,12,10,9,14,NA,93,91,98,87,96,NA,0.92,0.91,0.98,0.87,0.95,NA,0.07,0.09,0.02,0.13,0.03,NA,2.8808625884888,2.68151006738043,4.10749782126364,2.2527822580776,3.52564723510272,NA
"5","ATHBF18","16857",0.366445,0.43415,0.38314,0.05722,0.316665,NA,"SpaceCakesLevel 1-4-0","SpaceCakesLevel 2-2-0","SpaceCakesLevel 0-2-4","SpaceCakesLevel 3-3-0","SpaceCakesLevel 4-0-2",NA,60,60,60,60,31,NA,590,410,510,519,351,NA,10,10,6,10,7,NA,"1743","1238","1932","1572","935",NA,559,365,484,461,286,NA,0.959686731484794,1.43223506493151,1.61802066632231,1.85080367592191,2.12206685699301,NA,0.434683128512447,0.810940304210252,0.981537411833154,0.774085559811321,0.909390147859978,NA,0,0,0,2,0,NA,NA,NA,NA,1.70137,NA,NA,NA,NA,NA,2.40610052861471,NA,NA,31,45,26,56,65,NA,1.1536626,1.70863938,1.66320095769231,2.28371532678571,1.60211416615385,NA,0.545317017214255,1.01525230318354,1.1225369553526,1.35906504000546,1.00411999419765,NA,10,15,12,12,9,NA,95,89,95,89,81,NA,0.95,0.89,0.95,0.89,0.81,NA,0.05,0.11,0.05,0.11,0.19,NA,3.28970725390294,2.45305624007322,3.28970725390294,2.45305624007322,1.75579259010246,NA
"6","ATHBF18","16860",0.04927,0.3500399,0.382815,0.366335,0.01567,NA,"SpaceCakesLevel 0-4-0","SpaceCakesLevel 1-2-0","SpaceCakesLevel 0-3-5","SpaceCakesLevel 3-1-0","SpaceCakesLevel 3-1-0",NA,30,40,30,40,26,NA,420,340,405,360,306,NA,6,8,10,7,6,NA,"1852","1622","1604","1248","1001",NA,388,327,381,331,212,NA,1.05210628041237,0.905329717737003,1.07878534488189,1.41190942567976,1.17466647316038,NA,0.542751192548646,0.351721413738823,0.504275114700429,0.443704813486083,0.630516452223967,NA,0,0,0,0,10,NA,NA,NA,NA,NA,1.419446,NA,NA,NA,NA,NA,0.840365948751561,NA,32,13,24,29,84,NA,1.390882628125,1.21417046153846,1.30669129583333,1.3499801862069,0.92947310952381,NA,0.835993782986935,0.496414248341145,0.41064265239726,0.507236794917188,0.577923241115167,NA,7,12,7,11,8,NA,92,96,94,92,69,NA,0.92,0.96,0.94,0.92,0.69,NA,0.08,0.04,0.06,0.08,0.28,NA,2.81014312061926,3.50137214250434,3.10954718919371,2.81014312061926,1.07869185461867,NA
"7","ATHBF18","16863",0,0,0.04964,0.016455,0.7508,NA,"SpaceCakesLevel 0-2-4","SpaceCakesLevel 1-0-3","SpaceCakesLevel 0-3-7","SpaceCakesLevel 2-2-0","SpaceCakesLevel 2-3-1",NA,60,30,30,20,40,NA,420,540,525,300,240,NA,8,12,14,5,5,NA,"1213","1865","1841","1754","683",NA,279,371,482,219,200,NA,1.14846655200717,1.26372948649596,1.6882951406639,2.45598021369863,2.384105783,NA,1.11118320245228,0.989863997901411,1.18190763481435,1.37996829532582,1.10320584651526,NA,6,69,11,30,17,NA,0.114016666666667,0.692363455072464,1.75799440909091,1.22276696666667,1.84536468823529,NA,0.158774675772513,1.41993127471686,1.67394404131265,1.16342404558111,0.732989992999666,NA,135,100,32,51,23,NA,1.15672278881481,1.493086563,1.745751978125,2.43000009803922,2.62179947826087,NA,1.34142614931084,1.58162799515091,1.64121562203447,1.76718017110355,1.3589076927553,NA,14,6,6,7,17,NA,66,69,92,73,83,NA,0.66,0.69,0.92,0.73,0.83,NA,0.32,0.19,0.06,0.17,0.1,NA,0.880161928555913,1.37374664239868,2.95984515490649,1.56697824416282,2.2357168186908,NA
"8","ATHBF18","16866",0.383775,0.10103,0,0.0174,0.284405,NA,"SpaceCakesLevel 1-2-1","SpaceCakesLevel 1-3-0","SpaceCakesLevel 0-3-2","SpaceCakesLevel 3-0-3","SpaceCakesLevel 3-0-2",NA,40,40,30,40,17,NA,490,407,495,560,237,NA,10,9,8,11,5,NA,"1895","1465","1795","1454","686",NA,434,361,370,410,165,NA,1.16176989769585,1.17974317479224,1.20526268864865,1.39092025243902,1.5438515830303,NA,0.598376721663648,0.590442719738043,0.785804088496884,0.872634911975659,0.924878942111525,NA,0,0,11,10,11,NA,NA,NA,1.09241772727273,0.73752017,0.972254536363636,NA,NA,NA,0.67418347986792,0.601595733095915,0.375601303784697,NA,56,46,114,140,61,NA,1.2613201375,1.33357881304348,1.3210213754386,1.046627205,1.35983461967213,NA,0.734845514267332,1.04341082646834,1.07288563229699,0.690279461877898,1.0149900057835,NA,8,10,6,7,7,NA,89,89,75,73,70,NA,0.88,0.89,0.75,0.73,0.7,NA,0.12,0.11,0.23,0.25,0.26,NA,2.34997358413218,2.45305624007322,1.4133365993813,1.28730274121271,1.16774591810096,NA
"9","ATHBF18","16872",0.016705,0.023,0,0,0,NA,"SpaceCakesLevel 1-3-0","SpaceCakesLevel 1-2-0","SpaceCakesLevel 1-1-4","SpaceCakesLevel 2-2-1","SpaceCakesLevel 2-3-2",NA,40,40,30,60,40,NA,349,560,540,439,340,NA,10,11,15,10,7,NA,"993","1981","2024","1513","781",NA,312,518,367,245,250,NA,1.70347431698718,1.93001185617761,2.13725038365123,2.89388676897959,2.6425074004,NA,1.12267720332107,1.24561730263184,1.42638827779931,1.51916521345656,1.38532265016305,NA,0,1,7,53,2,NA,NA,3.920211,2.40806114285714,2.9604741509434,4.020998,NA,NA,NA,1.81972130934853,1.8295973568082,1.03817134771096,NA,37,41,166,141,88,NA,2.42832277567568,2.52513722243902,2.08131488186747,2.60511418439716,2.49541644659091,NA,1.43964908533904,1.70810287527368,1.62993234271857,1.64655091770078,1.45661692424547,NA,11,7,6,14,12,NA,89,92,68,56,74,NA,0.89,0.92,0.68,0.56,0.73,NA,0.11,0.07,0.31,0.32,0.26,NA,2.45305624007322,2.8808625884888,0.963549146461962,0.618668014611286,1.25615839640954,NA
"10","ATHBF18","16875",0.216605,0.41719,0.400585,0,0.6170151,NA,"SpaceCakesLevel 1-4-0","SpaceCakesLevel 2-3-0","SpaceCakesLevel 0-2-5","SpaceCakesLevel 3-4-0","SpaceCakesLevel 4-3-0",NA,60,60,60,80,27,NA,599,560,720,560,347,NA,11,11,7,10,7,NA,"2033","1774","2061","1814","996",NA,535,504,695,535,313,NA,1.04607249476636,1.37173361884921,1.26492085640288,1.52702760934579,1.81143406805112,NA,0.539882224227761,0.811525958328649,0.948354579670278,0.571311995057888,0.81316533701991,NA,0,7,0,0,2,NA,NA,1.63047571428571,NA,NA,1.709225,NA,NA,0.567514997565619,NA,NA,0.390322943214974,NA,64,49,25,25,32,NA,1.31980587484375,1.88330283877551,1.117843392,1.460132204,1.978993253125,NA,0.812304378731696,1.49910241701714,0.62154484589316,0.667240850971236,0.922660386721225,NA,10,11,8,14,8,NA,89,90,97,96,90,NA,0.89,0.9,0.96,0.95,0.9,NA,0.11,0.09,0.04,0.05,0.09,NA,2.45305624007322,2.62230659923482,3.50137214250434,3.28970725390294,2.62230659923482,NA
