id,userID,accessCode,task,post_nihScore,post_nihAccuracy,post_nihRTScore,,,,,,
1055,18630,fa18UCp1,dccs,3.97436,4,3.87345,,,,,,
1054,18630,fa18UCp1,dccs,0,4,0,,,,,,
1053,17248,fa18UCp1,dccs,2.82051,3,5,,,,,,
1052,17247,FA18UCpost,dccs,3.20513,3,5,,,,,,
1051,16770,FA18UCpost,dccs,3.81579,4,3.26498,,,,,,
1050,16771,FA18UCpost,dccs,6.66845,4,2.61439,,,,,,
1049,16772,FA18UCpost,dccs,3.15789,3,4.59807,,,,,,
1048,16773,FA18UCpost,dccs,3.46154,3,2.48673,,,,,,
1047,16774,FA18UCpost,dccs,7.41073,5,2.66073,,,,,,
1046,16775,FA18UCpost,dccs,6.84395,5,2.22856,,,,,,
1045,16776,FA18UCpost,dccs,3.20513,3,3.12931,,,,,,
1044,16776,FA18UCpost,dccs,8.70141,5,4.08603,,,,,,
1043,16777,FA18UCpost,dccs,7.73372,5,2.99013,,,,,,
1042,16778,FA18UCpost,dccs,7.59347,5,2.85663,,,,,,
1041,16779,FA18UCpost,dccs,7.33842,4,2.86473,,,,,,
1040,16780,FA18UCpost,dccs,7.83783,5,2.83783,,,,,,
1039,16781,FA18UCpost,dccs,3.78378,4,2.80071,,,,,,
1038,16782,FA18UCpost,dccs,3.84615,4,2.63988,,,,,,
1037,16783,FA18UCpost,dccs,6.79107,5,2.17568,,,,,,
1036,16784,FA18UCpost,dccs,6.71863,4,2.48786,,,,,,
1035,16785,FA18UCpost,dccs,7.65762,5,2.91403,,,,,,
1034,16786,FA18UCpost,dccs,7.99443,5,2.99443,,,,,,
1033,16787,FA18UCpost,dccs,7.81659,4,3.32941,,,,,,
1032,16789,FA18UCpost,dccs,6.55237,4,2.06519,,,,,,
1031,16790,FA18UCpost,dccs,7.33735,5,2.72197,,,,,,
1030,16791,FA18UCpost,dccs,5.92013,4,1.68936,,,,,,
1029,16792,FA18UCpost,dccs,5,5,0,,,,,,
1028,16792,FA18UCpost,dccs,7.65719,4,3.18351,,,,,,
1027,16795,FA18UCpost,dccs,8.17809,5,3.58349,,,,,,
1026,16796,FA18UCpost,dccs,3.33333,3,1.79098,,,,,,
1025,16797,FA18UCpost,dccs,6.67879,5,1.9352,,,,,,
1024,16799,FA18UCpost,dccs,6.78459,4,2.3109,,,,,,
1023,16800,FA18UCpost,dccs,3.58974,4,2.27656,,,,,,
1022,16801,FA18UCpost,dccs,8.39609,5,3.52767,,,,,,
1021,16802,FA18UCpost,dccs,3.71795,4,2.47199,,,,,,
1020,16803,FA18UCpost,dccs,7.66298,5,3.03798,,,,,,
1019,16804,FA18UCpost,dccs,7.35538,5,2.6411,,,,,,
1018,16805,FA18UCpost,dccs,7.65483,5,3.03945,,,,,,
1017,16807,FA18UCpost,dccs,8.01672,5,3.27313,,,,,,
1016,16808,FA18UCpost,dccs,2.82051,3,1.91325,,,,,,
1015,16809,FA18UCpost,dccs,6.55641,4,2.32564,,,,,,
1014,16810,FA18UCpost,dccs,7.80064,4,3.34118,,,,,,
1013,16811,FA18UCpost,dccs,7.46973,5,2.46973,,,,,,
1012,16812,FA18UCpost,dccs,7.7407,5,3.13544,,,,,,
1011,16813,FA18UCpost,dccs,5,5,0,,,,,,
1010,16813,FA18UCpost,dccs,3.75,4,3.73978,,,,,,
1009,16814,FA18UCpost,dccs,8.85917,5,4.2539,,,,,,
1008,16815,FA18UCpost,dccs,3.75,4,0.215158,,,,,,
1007,16816,FA18UCpost,dccs,5,5,0,,,,,,
1006,16816,FA18UCpost,dccs,7.00484,4,2.51766,,,,,,
1005,16816,FA18UCpost,dccs,9.08128,5,4.08128,,,,,,
1004,16817,FA18UCpost,dccs,7.49748,5,2.75389,,,,,,
1003,16818,FA18UCpost,dccs,7.63744,5,2.63744,,,,,,
1002,16820,FA18UCpost,dccs,8.9121,5,4.04368,,,,,,
1001,16821,FA18UCpost,dccs,0,4,0,,,,,,
1000,16822,FA18UCpost,dccs,7.59334,5,2.99875,,,,,,
999,16823,FA18UCpost,dccs,5,5,0,,,,,,
998,16824,FA18UCpost,dccs,7.45381,5,2.84855,,,,,,
997,16825,FA18UCpost,dccs,7.35485,4,2.99587,,,,,,
996,16826,FA18UCpost,dccs,8.33781,5,3.33781,,,,,,
995,16827,FA18UCpost,dccs,5.61061,4,1.50805,,,,,,
994,16829,FA18UCpost,dccs,7.67399,5,3.05861,,,,,,
993,16830,FA18UCpost,dccs,7.86092,5,3.24553,,,,,,
992,16831,FA18UCpost,dccs,9.22013,5,4.34833,,,,,,
991,16832,FA18UCpost,dccs,8.32187,5,3.45008,,,,,,
990,16833,FA18UCpost,dccs,7.65974,4,3.17256,,,,,,
989,16834,FA18UCpost,dccs,6.84944,5,2.10585,,,,,,
988,16835,FA18UCpost,dccs,5.59645,4,1.36569,,,,,,
987,16836,FA18UCpost,dccs,8.61961,5,3.61961,,,,,,
986,16838,FA18UCpost,dccs,7.75294,5,3.0161,,,,,,
985,16839,FA18UCpost,dccs,6.37784,4,1.89066,,,,,,
984,16840,FA18UCpost,dccs,8.02819,5,3.2846,,,,,,
983,16841,FA18UCpost,dccs,5.25734,4,1.04682,,,,,,
982,16842,FA18UCpost,dccs,3.94737,4,3.36832,,,,,,
981,16843,FA18UCpost,dccs,8.26498,5,3.26498,,,,,,
980,16844,FA18UCpost,dccs,8.15968,5,3.28789,,,,,,
979,16845,FA18UCpost,dccs,7.0024,5,2.0024,,,,,,
978,16846,FA18UCpost,dccs,7.53746,5,2.66566,,,,,,
977,16847,FA18UCpost,dccs,3.58974,4,0,,,,,,
976,16848,FA18UCpost,dccs,8.03812,5,3.16633,,,,,,
975,16850,FA18UCpost,dccs,6.65009,4,2.16291,,,,,,
974,16851,FA18UCpost,dccs,2.17949,2,3.70562,,,,,,
973,16852,FA18UCpost,dccs,5.88418,4,1.65342,,,,,,
972,16853,FA18UCpost,dccs,6.53748,4,2.30671,,,,,,
971,16854,FA18UCpost,dccs,3.20513,3,5,,,,,,
970,16855,FA18UCpost,dccs,7.49506,5,2.87968,,,,,,
969,16856,FA18UCpost,dccs,3.97436,4,3.2715,,,,,,
968,16857,FA18UCpost,dccs,8.51397,5,3.77038,,,,,,
967,16858,FA18UCpost,dccs,6.42768,4,1.9405,,,,,,
966,16859,FA18UCpost,dccs,8.07132,5,3.32773,,,,,,
965,16861,FA18UCpost,dccs,6.00775,4,1.64877,,,,,,
964,16860,FA18UCpost,dccs,8.22466,5,3.22466,,,,,,
963,16861,FA18UCpost,dccs,6.00775,4,1.64877,,,,,,
962,16862,FA18UCpost,dccs,7.10866,5,2.36507,,,,,,
961,16863,FA18UCpost,dccs,6.84758,4,2.61681,,,,,,
960,16864,FA18UCpost,dccs,8.40019,5,3.78481,,,,,,
959,16865,FA18UCpost,dccs,3.94737,4,4.43028,,,,,,
958,16866,FA18UCpost,dccs,6.84399,5,1.96899,,,,,,
957,16867,FA18UCpost,dccs,8.05131,5,3.30772,,,,,,
956,16868,FA18UCpost,dccs,7.41668,5,2.67309,,,,,,
955,16870,FA18UCpost,dccs,6.054,4,1.56682,,,,,,
954,16871,FA18UCpost,dccs,7.58677,5,2.84318,,,,,,
953,16872,FA18UCpost,dccs,7.24673,5,2.63135,,,,,,
952,16873,FA18UCpost,dccs,7.94125,5,3.19766,,,,,,
951,16874,FA18UCpost,dccs,7.8368,4,3.34962,,,,,,
950,16875,FA18UCpost,dccs,7.82051,5,2.82051,,,,,,
949,16876,FA18UCpost,dccs,6.55446,4,2.19549,,,,,,
948,16877,FA18UCpost,dccs,7.51045,5,2.63866,,,,,,
947,16878,FA18UCpost,dccs,7.33638,5,2.59279,,,,,,
946,16879,FA18UCpost,dccs,5.77957,5,0.907771,,,,,,
945,16880,FA18UCpost,dccs,8.62152,5,3.62152,,,,,,
944,16881,FA18UCpost,dccs,6.8915,4,2.66073,,,,,,
943,16881,FA18UCpost,dccs,6.83618,4,2.349,,,,,,
942,16882,FA18UCpost,dccs,7.49314,4,3.00596,,,,,,
