"id","userID","accessCode","task","post_nihScore","post_nihAccuracy","post_nihRTScore"
1220,18630,"fa18UCp1","flanker",8.08068,5,3.55687
1219,18630,"fa18UCp1","flanker",7.72966,4,3.3249
1218,17248,"fa18UCp1","flanker",8.00005,4,3.59529
1221,17653,"FA18UCpost","flanker",7.99949,5,2.99949
1222,17697,"FA18UCpost","flanker",5.42116,4,1.0164
1223,17688,"FA18UCpost","flanker",7.90658,5,2.90658
1224,17686,"FA18UCpost","flanker",3.21429,3,2.34375
1225,17684,"FA18UCpost","flanker",6.83696,5,1.956
1226,17680,"FA18UCpost","flanker",8.46819,5,3.46819
1227,17701,"FA18UCpost","flanker",8.67462,5,3.67462
1228,17700,"FA18UCpost","flanker",6.17172,4,2.1241
1229,17699,"FA18UCpost","flanker",6.8314,5,2.06949
1230,17698,"FA18UCpost","flanker",7.27275,4,2.98703
1231,17695,"FA18UCpost","flanker",7.20966,5,2.20966
1232,17690,"FA18UCpost","flanker",8.05735,5,3.1764
1233,17689,"FA18UCpost","flanker",8.25494,5,3.37399
1234,17687,"FA18UCpost","flanker",6.75376,5,1.99186
1235,17685,"FA18UCpost","flanker",7.03397,5,2.03397
1236,17685,"FA18UCpost","flanker",5,5,0
1237,17685,"FA18UCpost","flanker",5,5,0
1238,17683,"FA18UCpost","flanker",7.93653,5,2.93653
1239,17682,"FA18UCpost","flanker",7.89917,5,2.89917
1240,17681,"FA18UCpost","flanker",8.13896,5,3.13896
1241,17679,"FA18UCpost","flanker",7.44546,5,2.56451
1242,17678,"FA18UCpost","flanker",6.93028,5,2.16838
1243,17677,"FA18UCpost","flanker",7.8582,5,2.8582
1244,17672,"FA18UCpost","flanker",3.57143,4,1.25169
1245,17671,"FA18UCpost","flanker",7.93755,5,3.05659
1246,17669,"FA18UCpost","flanker",3.57143,4,0.341436
1247,17668,"FA18UCpost","flanker",6.07418,5,1.19323
1248,17666,"FA18UCpost","flanker",7.21506,5,2.45316
1249,17661,"FA18UCpost","flanker",6.93901,5,2.41521
1250,17655,"FA18UCpost","flanker",6.21637,5,1.69256
1251,17652,"FA18UCpost","flanker",7.53877,5,2.53877
1252,17670,"FA18UCpost","flanker",7.73049,5,2.84954
1253,17667,"FA18UCpost","flanker",7.66859,5,2.66859
1254,17665,"FA18UCpost","flanker",3.57143,4,2.24774
1255,17663,"FA18UCpost","flanker",7.46665,5,2.82379
1256,17662,"FA18UCpost","flanker",3.80952,4,1.33793
1257,17659,"FA18UCpost","flanker",8.02666,5,3.14571
1258,17657,"FA18UCpost","flanker",7.97169,5,3.09074
