"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore"
565,17652,"PespF18","dccs",2.05128,2,3.1065,642,"FA18UCpost","dccs",2.05128,2,2.88241
611,16932,"preflank","dccs",6.81065,5,2.06706,895,"FA18UCpost","dccs",7.67226,4,3.18508
610,16934,"preflank","dccs",5.29406,4,1.06329,893,"FA18UCpost","dccs",7.97981,5,3.10801
609,16947,"preflank","dccs",3.84615,4,3.29283,855,"FA18UCpost","dccs",7.70068,4,3.2135
608,16947,"preflank","dccs",7.46698,4,3.10801,855,"FA18UCpost","dccs",7.70068,4,3.2135
461,17248,"PUF18","dccs",8.10606,5,3.23106,1053,"fa18UCp1","dccs",2.82051,3,5
461,17248,"PUF18","dccs",8.10606,5,3.23106,925,"FA18UCpost","dccs",3.33333,3,3.46966
460,16926,"PUF18","dccs",6.93213,5,2.18854,901,"FA18UCpost","dccs",7.21897,5,2.47538
459,16934,"PUF18","dccs",3.97436,4,0,893,"FA18UCpost","dccs",7.97981,5,3.10801
458,16933,"PUF18","dccs",3.07692,3,2.84721,894,"FA18UCpost","dccs",7.24107,4,2.75389
457,16929,"PUF18","dccs",8.04778,5,3.29778,898,"FA18UCpost","dccs",7.26471,5,2.52112
456,16928,"PUF18","dccs",0,4,0,899,"FA18UCpost","dccs",6.07645,4,1.58927
455,16928,"PUF18","dccs",3.97436,4,2.42063,899,"FA18UCpost","dccs",6.07645,4,1.58927
454,16922,"PUF18","dccs",7.46697,5,2.59518,905,"FA18UCpost","dccs",7.81654,5,2.81654
453,16924,"PUF18","dccs",6.96007,5,2.21648,903,"FA18UCpost","dccs",7.60562,5,2.86203
452,16931,"PUF18","dccs",3.84615,4,5,896,"FA18UCpost","dccs",7.16422,5,2.42063
451,16935,"PUF18","dccs",3.875,4,1.90976,892,"FA18UCpost","dccs",7.45399,5,2.45399
450,16932,"PUF18","dccs",6.74152,4,2.51075,895,"FA18UCpost","dccs",7.67226,4,3.18508
449,16984,"PUF18","dccs",7.1234,4,2.63622,920,"FA18UCpost","dccs",7.50193,5,2.63013
448,16921,"PUF18","dccs",2.82051,3,1.34138,906,"FA18UCpost","dccs",3.97436,4,2.55372
447,16923,"PUF18","dccs",7.46932,5,2.85393,904,"FA18UCpost","dccs",7.60022,5,2.85663
446,16925,"PUF18","dccs",3.97436,4,2.19847,902,"FA18UCpost","dccs",7.14445,5,2.40086
