"id.x","userID","accessCode.x","task.x","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","id.y","accessCode.y","task.y","post_nihScore","post_nihAccuracy","post_nihRTScore"
1092,17652,"PespF18","flanker",7.4318,5,2.6699,1251,"FA18UCpost","flanker",7.53877,5,2.53877
1186,16947,"preflank","flanker",5,5,0,1470,"FA18UCpost","flanker",8.29955,5,3.65669
1187,16934,"preflank","flanker",3.21429,3,0.525017,1507,"FA18UCpost","flanker",7.87565,5,2.87564
1188,16932,"preflank","flanker",7.99415,5,3.23225,1509,"FA18UCpost","flanker",8.23591,5,3.35495
1213,17048,"preonlyflank","flanker",7.18967,5,2.42777,1447,"FA18UCpost","flanker",7.66558,4,3.26082
1214,17042,"preonlyflank","flanker",8.24291,5,3.24291,1452,"FA18UCpost","flanker",8.06143,5,3.06143
1215,17040,"preonlyflank","flanker",7.53999,5,2.53999,1454,"FA18UCpost","flanker",8.10888,5,3.10888
1216,17038,"preonlyflank","flanker",7.81247,5,2.81247,1456,"FA18UCpost","flanker",8.17125,5,3.17125
1217,17036,"preonlyflank","flanker",8.22871,5,3.22871,1458,"FA18UCpost","flanker",8.22341,5,3.22341
1189,17033,"present","flanker",7.09021,5,2.44736,1473,"FA18UCpost","flanker",8.06139,5,3.41853
1190,17032,"present","flanker",3.09524,3,5,1474,"FA18UCpost","flanker",7.5785,5,2.69755
1191,17031,"present","flanker",6.24082,5,1.24082,1475,"FA18UCpost","flanker",8.16349,5,3.28254
1193,17029,"present","flanker",7.21476,5,2.21476,1476,"FA18UCpost","flanker",8.26262,5,3.26262
1194,17028,"present","flanker",8.23591,5,3.35495,1477,"FA18UCpost","flanker",7.90955,5,2.90955
1195,17017,"present","flanker",8.08681,5,3.20586,1489,"FA18UCpost","flanker",7.88826,5,3.00731
1196,17016,"present","flanker",7.29388,5,2.41293,1490,"FA18UCpost","flanker",7.32523,5,2.32523
1197,17014,"present","flanker",8.19541,5,3.19541,1492,"FA18UCpost","flanker",8.00261,5,3.00261
1198,17013,"present","flanker",7.99981,5,3.11885,1493,"FA18UCpost","flanker",7.88443,5,2.88443
1199,17012,"present","flanker",3.09524,3,0,1494,"FA18UCpost","flanker",7.53935,4,3.25363
1200,17011,"present","flanker",8.2454,5,3.36445,1495,"FA18UCpost","flanker",7.90762,5,3.14571
1201,17009,"present","flanker",3.80952,4,1.11166,1497,"FA18UCpost","flanker",6.22199,5,1.57913
1202,17008,"present","flanker",7.84235,5,2.84235,1498,"FA18UCpost","flanker",8.10888,5,3.10888
1203,17007,"present","flanker",8.23935,5,3.23935,1499,"FA18UCpost","flanker",6.71221,5,2.1884
1204,17006,"present","flanker",8.23225,5,3.23225,1500,"FA18UCpost","flanker",7.77474,5,2.77474
1205,16993,"present","flanker",6.7613,5,1.88035,1526,"FA18UCpost","flanker",7.57814,5,2.57814
1206,16992,"present","flanker",7.51696,4,3.1122,1527,"FA18UCpost","flanker",7.94561,5,2.94561
1207,16988,"present","flanker",7.19546,5,2.19546,1530,"FA18UCpost","flanker",7.6378,5,2.75685
1208,16987,"present","flanker",6.15333,4,1.86761,1531,"FA18UCpost","flanker",7.63233,5,2.75138
1209,16986,"present","flanker",6.38297,5,1.74011,1532,"FA18UCpost","flanker",6.89673,5,2.13482
1210,16985,"present","flanker",8.23757,5,3.23757,1533,"FA18UCpost","flanker",8.33424,5,3.33424
1211,16982,"present","flanker",6.8248,5,2.0629,1536,"FA18UCpost","flanker",6.69518,5,2.17137
1212,16983,"present","flanker",7.84954,5,2.84954,1535,"FA18UCpost","flanker",8.13728,5,3.13728
582,18128,"PRF18","flanker",2.97619,3,1.81588,1671,"JRPOF18","flanker",3.21429,3,0.588245
583,17394,"PRF18","flanker",3.80952,4,1.59732,1685,"JRPOF18","flanker",3.45238,3,1.69025
585,17386,"PRF18","flanker",6.62073,4,2.33501,1672,"JRPOF18","flanker",3.57143,4,2.64266
598,17212,"PRF18","flanker",8.45815,5,3.45815,1686,"JRPOF18","flanker",8.34002,5,3.57811
599,17210,"PRF18","flanker",7.4498,5,2.92599,1688,"JRPOF18","flanker",6.82122,5,2.17836
600,17209,"PRF18","flanker",7.49072,5,2.49072,1674,"JRPOF18","flanker",7.93351,5,2.93351
601,17208,"PRF18","flanker",6.72133,4,2.55466,1675,"JRPOF18","flanker",5.88319,4,1.47843
602,17207,"PRF18","flanker",6.34767,4,2.06196,1676,"JRPOF18","flanker",6.79865,5,2.03675
603,17204,"PRF18","flanker",6.7112,5,2.18739,1689,"JRPOF18","flanker",3.69048,4,2.84666
604,17203,"PRF18","flanker",5.81135,4,1.52563,1690,"JRPOF18","flanker",7.21885,5,2.21885
605,17202,"PRF18","flanker",8.37889,5,3.61699,1679,"JRPOF18","flanker",7.62727,5,2.62727
