"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
607,9466,"PespF18","dccs",8.93612,5,4.31112
606,17325,"PespF18","dccs",7.03569,5,2.2921
605,17326,"PespF18","dccs",5,5,0
604,17326,"PespF18","dccs",7.55537,4,3.18037
603,17327,"PespF18","dccs",5,5,0
602,17328,"PespF18","dccs",2.4359,2,2.9349
601,17329,"PespF18","dccs",6.96855,4,2.60957
600,17329,"PespF18","dccs",2.83784,3,2.97441
599,17330,"PespF18","dccs",6.90891,4,2.42173
598,17334,"PespF18","dccs",3.71795,4,5
597,17334,"PespF18","dccs",3.83333,4,2.24988
596,17335,"PespF18","dccs",2.69231,3,4.80955
595,17336,"PespF18","dccs",6.86283,4,2.50386
594,17337,"PespF18","dccs",3.33333,3,2.87016
593,17337,"PespF18","dccs",5,5,0
592,17338,"PespF18","dccs",7.13072,4,2.64354
591,17339,"PespF18","dccs",0,4,0
590,17340,"PespF18","dccs",5,5,0
589,17342,"PespF18","dccs",2.69231,3,2.37046
588,16967,"PespF18","dccs",3.71795,4,3.04827
587,16968,"PespF18","dccs",3.97436,4,1.87172
586,16968,"PespF18","dccs",3.71429,4,3.08392
585,16970,"PespF18","dccs",6.62935,4,2.27037
584,16971,"PespF18","dccs",5.84121,4,1.61045
583,16972,"PespF18","dccs",3.97436,4,2.10871
582,16973,"PespF18","dccs",5.98773,4,1.62876
581,16974,"PespF18","dccs",0,4,0
580,16974,"PespF18","dccs",6.71696,4,2.61439
579,16975,"PespF18","dccs",5,5,0
578,16975,"PespF18","dccs",3.625,4,2.70555
577,16976,"PespF18","dccs",3.97436,4,0
576,16977,"PespF18","dccs",6.69173,5,1.69173
575,16977,"PespF18","dccs",7.31195,5,2.56195
574,16977,"PespF18","dccs",5,5,0
573,16979,"PespF18","dccs",3.84615,4,0
572,16979,"PespF18","dccs",2.17949,2,2.30881
571,16980,"PespF18","dccs",2.69231,3,0
570,16980,"PespF18","dccs",2.05128,2,2.9349
569,16981,"PespF18","dccs",5,5,0
568,16981,"PespF18","dccs",5,5,0
567,16981,"PespF18","dccs",2.30769,2,0
566,17453,"PespF18","dccs",6.1483,4,1.78933
565,17652,"PespF18","dccs",2.05128,2,3.1065
564,17660,"PespF18","dccs",2.30769,2,2.12021
563,17664,"PespF18","dccs",2.5641,3,0
562,18530,"PespF18","dccs",3.625,4,2.19549
561,18531,"PespF18","dccs",3.97436,4,2.48559
560,18572,"PespF18","dccs",3.75,4,2.68926
559,18592,"PespF18","dccs",3.71795,4,3.26824
558,18594,"PespF18","dccs",2.30769,2,3.46252
557,18611,"PespF18","dccs",2.17949,2,2.25294
556,18702,"PespF18","dccs",5,5,0
555,18702,"PespF18","dccs",7.8607,5,3.11712
611,16932,"preflank","dccs",6.81065,5,2.06706
610,16934,"preflank","dccs",5.29406,4,1.06329
609,16947,"preflank","dccs",3.84615,4,3.29283
608,16947,"preflank","dccs",7.46698,4,3.10801
465,17233,"PUF18","dccs",3.5,4,4.39987
