"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore"
1080,18702,"PespF18","flanker",3.92857,4,2.19445
1081,18611,"PespF18","flanker",6.87779,5,1.87779
1082,18594,"PespF18","flanker",3.52941,4,2.49428
1083,18594,"PespF18","flanker",3.21429,3,2.41066
1084,18592,"PespF18","flanker",7.66338,5,2.66338
1085,18572,"PespF18","flanker",7.63755,5,2.87564
1086,18571,"PespF18","flanker",3.33333,3,2.51339
1087,18570,"PespF18","flanker",3.45238,3,1.97384
1088,18531,"PespF18","flanker",3.45238,3,0
1089,18530,"PespF18","flanker",3.69048,4,3.04695
1090,17664,"PespF18","flanker",3.92857,4,2.24566
1091,17660,"PespF18","flanker",5.0178,4,0.732086
1092,17652,"PespF18","flanker",7.4318,5,2.6699
1093,17453,"PespF18","flanker",7.42582,5,2.54487
1094,17453,"PespF18","flanker",0,4,0
1095,16981,"PespF18","flanker",3.33333,3,2.52422
1096,16980,"PespF18","flanker",3.21429,3,5
1097,16979,"PespF18","flanker",5,5,0
1098,16978,"PespF18","flanker",9.33333,4,5
1099,16977,"PespF18","flanker",7.70552,5,2.70552
1100,16976,"PespF18","flanker",5.08773,4,0.802015
1101,16975,"PespF18","flanker",7.46407,5,2.58312
1102,16974,"PespF18","flanker",4.74209,5,0.218276
1103,16973,"PespF18","flanker",6.86423,5,1.86423
1104,16972,"PespF18","flanker",6.98956,5,2.10861
1105,16971,"PespF18","flanker",6.68258,5,1.68258
1106,16970,"PespF18","flanker",3.09524,3,4.42212
1107,16969,"PespF18","flanker",8.08582,5,3.08582
1108,16968,"PespF18","flanker",5.89252,4,1.84491
1109,16967,"PespF18","flanker",3.69048,4,4.20578
1110,17342,"PespF18","flanker",7.0408,5,2.51699
1111,17341,"PespF18","flanker",3.80952,4,1.99005
1112,17340,"PespF18","flanker",3.80952,4,1.31521
1113,17340,"PespF18","flanker",3.80952,4,0.486571
1114,17339,"PespF18","flanker",5.44923,4,1.16352
1115,17339,"PespF18","flanker",5,5,0
1116,17338,"PespF18","flanker",2.97619,3,0
1117,17337,"PespF18","flanker",3.33333,3,3.39903
1118,17336,"PespF18","flanker",3.57143,4,2.10187
1119,17335,"PespF18","flanker",3.21429,3,3.74811
1120,17334,"PespF18","flanker",5.65439,4,1.36867
1121,17333,"PespF18","flanker",0,4,0
1122,17331,"PespF18","flanker",6.99539,5,2.35254
1123,17330,"PespF18","flanker",3.57143,4,3.24648
1124,17329,"PespF18","flanker",3.09524,3,2.96544
1125,17328,"PespF18","flanker",4.52185,4,0.355185
1126,17327,"PespF18","flanker",3.80952,4,2.81247
1127,17326,"PespF18","flanker",6.50823,4,2.34156
1128,17325,"PespF18","flanker",7.1635,5,2.4016
1129,17324,"PespF18","flanker",4.64286,5,0
1130,9466,"PespF18","flanker",8.95623,5,3.95623
1131,9466,"PespF18","flanker",8.95623,5,3.95623
1132,8284,"PespF18","flanker",5,5,0
1186,16947,"preflank","flanker",5,5,0
1187,16934,"preflank","flanker",3.21429,3,0.525017
1188,16932,"preflank","flanker",7.99415,5,3.23225
1213,17048,"preonlyflank","flanker",7.18967,5,2.42777
1214,17042,"preonlyflank","flanker",8.24291,5,3.24291
1215,17040,"preonlyflank","flanker",7.53999,5,2.53999
