"id","userID","accessCode","task","pre_nihScore","pre_nihAccuracy","pre_nihRTScore","dateTime"
463,132,"PUF18","dccs",3.25,3,0.336786,"2018-10-08 20:36:22"
309,8291,"PUF18","dccs",8.16627,5,3.29448,"2018-10-10 10:25:27"
607,9466,"PespF18","dccs",8.93612,5,4.31112,"2018-10-09 23:17:48"
464,12210,"PUF18","dccs",7.92975,5,3.31437,"2018-10-08 18:49:09"
308,16770,"PUF18","dccs",8.30115,5,3.68577,"2018-10-16 09:15:15"
307,16771,"PUF18","dccs",7.0958,5,2.35221,"2018-10-16 09:14:52"
306,16772,"PUF18","dccs",8.29719,5,3.4254,"2018-10-16 09:15:04"
305,16773,"PUF18","dccs",7.88364,5,3.14005,"2018-10-16 09:14:47"
304,16774,"PUF18","dccs",6.99032,4,2.63135,"2018-10-16 09:17:54"
303,16775,"PUF18","dccs",7.52575,5,2.52575,"2018-10-16 09:17:42"
302,16776,"PUF18","dccs",9.13407,5,4.13407,"2018-10-16 09:17:54"
301,16777,"PUF18","dccs",7.26471,4,2.90573,"2018-10-16 09:17:50"
300,16778,"PUF18","dccs",3.71795,4,2.23666,"2018-10-16 09:13:37"
299,16779,"PUF18","dccs",7.60837,5,2.60837,"2018-10-16 09:12:37"
298,16780,"PUF18","dccs",6.71937,4,2.61681,"2018-10-16 09:14:34"
297,16781,"PUF18","dccs",2.4359,2,1.95737,"2018-10-16 09:18:27"
296,16782,"PUF18","dccs",2.5641,3,2.44727,"2018-10-16 09:20:22"
295,16783,"PUF18","dccs",7.66071,5,3.04532,"2018-10-16 09:20:28"
294,16784,"PUF18","dccs",7.18678,5,2.57139,"2018-10-16 09:24:23"
293,16785,"PUF18","dccs",8.07895,5,3.20715,"2018-10-16 09:20:54"
292,16786,"PUF18","dccs",8.17601,5,3.43242,"2018-10-16 09:22:25"
291,16787,"PUF18","dccs",7.33103,5,2.71564,"2018-10-16 09:17:42"
290,16788,"PUF18","dccs",7.60427,5,2.86068,"2018-10-16 09:17:33"
289,16789,"PUF18","dccs",7.58039,4,3.34962,"2018-10-16 09:17:23"
288,16790,"PUF18","dccs",8.32773,5,3.32773,"2018-10-16 09:19:05"
287,16791,"PUF18","dccs",7.46936,5,2.59757,"2018-10-16 09:18:41"
286,16792,"PUF18","dccs",7.03822,5,2.42284,"2018-10-16 09:20:08"
285,16793,"PUF18","dccs",6.58191,4,2.35114,"2018-10-16 09:30:45"
284,16795,"PUF18","dccs",7.80809,5,2.9363,"2018-10-16 09:56:48"
283,16796,"PUF18","dccs",7.5447,5,2.92931,"2018-10-16 09:57:38"
282,16797,"PUF18","dccs",4.69909,4,0.468325,"2018-10-16 10:00:58"
281,16798,"PUF18","dccs",2.4359,2,2.40195,"2018-10-16 09:57:51"
280,16799,"PUF18","dccs",6.96928,4,2.73851,"2018-10-16 10:00:48"
279,16800,"PUF18","dccs",9.45189,5,4.5801,"2018-10-16 09:58:36"
278,16801,"PUF18","dccs",7.52809,4,3.04092,"2018-10-16 09:55:49"
277,16802,"PUF18","dccs",7.55484,5,2.81125,"2018-10-16 09:54:45"
276,16803,"PUF18","dccs",7.53774,5,2.92235,"2018-10-16 09:53:41"
275,16804,"PUF18","dccs",7.19321,5,2.32142,"2018-10-16 09:53:37"
274,16805,"PUF18","dccs",7.70033,5,2.95033,"2018-10-16 09:53:23"
273,16806,"PUF18","dccs",7.23601,5,2.49242,"2018-10-16 09:57:51"
272,16807,"PUF18","dccs",7.60838,5,2.993,"2018-10-23 09:58:06"
271,16808,"PUF18","dccs",6.52495,4,2.29418,"2018-10-16 09:55:23"
270,16809,"PUF18","dccs",7.72959,5,2.72959,"2018-10-16 09:56:33"
269,16810,"PUF18","dccs",7.38964,4,3.03066,"2018-10-16 09:55:15"
268,16811,"PUF18","dccs",5.87744,4,1.39026,"2018-10-16 09:57:02"
267,16812,"PUF18","dccs",7.52388,5,2.90849,"2018-10-16 09:55:59"
266,16813,"PUF18","dccs",8.03807,5,3.29448,"2018-10-16 09:56:41"
265,16814,"PUF18","dccs",8.83365,5,4.21826,"2018-10-16 09:53:54"
264,16815,"PUF18","dccs",7.86092,5,3.24553,"2018-10-16 09:54:01"
263,16816,"PUF18","dccs",7.96772,5,3.09593,"2018-10-16 09:53:46"
262,16817,"PUF18","dccs",3.07692,3,2.16683,"2018-10-16 09:59:31"
261,16818,"PUF18","dccs",7.04375,5,2.42837,"2018-10-16 09:58:38"
260,16819,"PUF18","dccs",7.78998,5,2.91818,"2018-10-16 09:59:16"
259,16820,"PUF18","dccs",8.20624,5,3.33444,"2018-10-16 11:22:20"
258,16821,"PUF18","dccs",8.01514,4,3.91258,"2018-10-16 11:22:23"
257,16822,"PUF18","dccs",3.97436,4,4.90096,"2018-10-16 11:23:25"
256,16823,"PUF18","dccs",8.85843,5,3.85843,"2018-10-16 11:29:08"
255,16824,"PUF18","dccs",7.13292,5,2.26113,"2018-10-16 11:22:02"
254,16825,"PUF18","dccs",2.05128,2,2.83382,"2018-10-16 11:21:59"
253,16826,"PUF18","dccs",8.36495,4,3.87777,"2018-10-16 11:27:48"
252,16827,"PUF18","dccs",3.75,4,0.606912,"2018-10-16 11:23:51"
251,16828,"PUF18","dccs",7.18914,5,2.57376,"2018-10-16 11:22:38"
250,16829,"PUF18","dccs",8.52239,4,4.16341,"2018-10-16 11:19:14"
249,16830,"PUF18","dccs",8.11533,5,3.37174,"2018-10-16 11:19:57"
248,16831,"PUF18","dccs",7.89662,5,3.02482,"2018-10-16 11:22:55"
247,16832,"PUF18","dccs",8.03812,5,3.16633,"2018-10-16 11:23:08"
246,16833,"PUF18","dccs",8.21211,5,3.59673,"2018-10-16 11:20:06"
245,16834,"PUF18","dccs",7.75284,5,2.88104,"2018-10-16 11:24:43"
244,16835,"PUF18","dccs",6.51992,5,1.90453,"2018-10-16 11:25:29"
243,16836,"PUF18","dccs",7.33877,5,2.59518,"2018-10-16 11:22:05"
242,16837,"PUF18","dccs",7.84478,5,2.97298,"2018-10-16 11:31:47"
241,16838,"PUF18","dccs",6.43138,4,2.32881,"2018-10-16 11:21:59"
240,16839,"PUF18","dccs",6.26106,5,1.64568,"2018-10-16 11:29:34"
239,16840,"PUF18","dccs",8.20968,5,3.46609,"2018-10-23 11:26:41"
238,16841,"PUF18","dccs",8.38926,4,4.15849,"2018-10-23 11:40:07"
237,16842,"PUF18","dccs",2.4359,2,2.71944,"2018-10-23 11:20:11"
